seconds,average_delta,std_error,maximum
30,61.80,8.51,96
60,88.80,18.58,165
90,101.40,17.58,165
120,106.80,15.59,165
150,139.80,14.95,192
180,155.40,11.55,192
210,160.20,10.06,192
240,172.20,12.05,195
270,172.20,12.05,195
300,174.60,12.65,195
330,174.60,12.65,195
360,174.60,12.65,195
390,174.60,12.65,195
420,174.60,12.65,195
450,174.60,12.65,195
480,174.60,12.65,195
510,174.60,12.65,195
540,174.60,12.65,195
570,174.60,12.65,195
600,174.60,12.65,195
630,174.60,12.65,195
660,174.60,12.65,195
690,174.60,12.65,195
720,174.60,12.65,195
750,174.60,12.65,195
780,174.60,12.65,195
810,174.60,12.65,195
840,174.60,12.65,195
870,174.60,12.65,195
900,174.60,12.65,195
930,174.60,12.65,195
960,174.60,12.65,195
990,174.60,12.65,195
1020,174.60,12.65,195
1050,174.60,12.65,195
1080,184.20,5.98,195
1110,184.20,5.98,195
1140,184.20,5.98,195
1170,194.40,0.54,195
1200,194.40,0.54,195
1230,195.00,0.00,195
1260,195.00,0.00,195
1290,195.00,0.00,195
1320,195.00,0.00,195
1350,195.00,0.00,195
1380,195.00,0.00,195
1410,195.00,0.00,195
1440,195.00,0.00,195
1470,195.00,0.00,195
1500,195.00,0.00,195
1530,195.00,0.00,195
1560,195.00,0.00,195
1590,195.00,0.00,195
1620,195.00,0.00,195
1650,195.00,0.00,195
1680,195.00,0.00,195
1710,195.00,0.00,195
1740,195.00,0.00,195
1770,195.00,0.00,195

1800,195.00,0.00,195

time delta>0:
6.60 (+/- 0.78)
[6, 5, 6, 10, 6]
