seconds,average_delta,std_error,maximum
30,67.00,4.39,79
60,76.00,3.44,83
90,80.20,2.22,87
120,81.00,2.76,91
150,81.00,2.76,91
180,81.60,2.54,91
210,82.60,2.66,91
240,83.60,3.11,92
270,84.00,3.33,94
300,85.60,2.60,94
330,85.60,2.60,94
360,85.60,2.60,94
390,85.60,2.60,94
420,85.60,2.60,94
450,86.40,2.27,94
480,86.40,2.27,94
510,87.80,2.20,94
540,87.80,2.20,94
570,87.80,2.20,94
600,87.80,2.20,94
630,88.00,2.10,94
660,88.00,2.10,94
690,88.20,2.22,95
720,88.60,2.05,95
750,88.60,2.05,95
780,89.80,1.48,95
810,89.80,1.48,95
840,89.80,1.48,95
870,89.80,1.48,95
900,90.00,1.36,95
930,90.00,1.36,95
960,90.00,1.36,95
990,90.00,1.36,95
1020,91.80,1.25,95
1050,91.80,1.25,95
1080,91.80,1.25,95
1110,91.80,1.25,95
1140,91.80,1.25,95
1170,91.80,1.25,95
1200,91.80,1.25,95
1230,91.80,1.25,95
1260,92.20,1.25,95
1290,92.20,1.25,95
1320,92.80,0.91,95
1350,92.80,0.91,95
1380,92.80,0.91,95
1410,92.80,0.91,95
1440,93.40,0.83,95
1470,93.40,0.83,95
1500,93.40,0.83,95
1530,93.40,0.83,95
1560,93.40,0.83,95
1590,94.00,0.40,95
1620,94.40,0.36,95
1650,94.40,0.36,95
1680,94.40,0.36,95
1710,94.60,0.22,95
1740,94.60,0.22,95
1770,94.80,0.18,95

1800,94.80,0.18,95

time delta>0:
3.80 (+/- 0.66)
[5, 5, 5, 2, 2]
