seconds,average_delta,std_error,maximum
30,3.80,0.66,5
60,5.40,0.22,6
90,6.40,0.83,10
120,6.40,0.83,10
150,6.80,0.87,10
180,7.40,0.78,10
210,7.80,0.72,10
240,7.80,0.72,10
270,8.80,0.95,11
300,9.00,1.02,11
330,9.20,1.11,12
360,9.40,1.22,13
390,9.40,1.22,13
420,10.80,0.77,13
450,10.80,0.77,13
480,10.80,0.77,13
510,10.80,0.77,13
540,11.00,0.89,14
570,11.00,0.89,14
600,11.00,0.89,14
630,158.00,75.56,393
660,164.00,78.47,393
690,187.60,93.62,511
720,616.20,388.94,2262
750,713.40,469.51,2733
780,1158.80,769.18,4462
810,1494.20,1060.56,6139
840,1896.40,1103.10,6139
870,1896.40,1103.10,6139
900,1930.20,1124.77,6288
930,2024.20,1150.07,6288
960,2038.00,1160.32,6357
990,2428.00,1452.61,8221
1020,2460.40,1459.02,8221
1050,2461.40,1458.69,8221
1080,2489.00,1464.66,8221
1110,3347.80,1815.83,8419
1140,3348.00,1815.76,8419
1170,3348.00,1815.76,8419
1200,3437.60,1864.96,8669
1230,3437.60,1864.96,8669
1260,3437.60,1864.96,8669
1290,3437.60,1864.96,8669
1320,3437.60,1864.96,8669
1350,3452.00,1859.80,8669
1380,3710.60,2002.15,9689
1410,3731.40,1994.86,9689
1440,4782.20,2610.22,14399
1470,4796.60,2614.64,14399
1500,4904.00,2649.37,14399
1530,4921.80,2643.79,14399
1560,4933.20,2640.26,14399
1590,5007.80,2666.07,14399
1620,5175.20,2705.99,14399
1650,5691.80,2817.74,15702
1680,6033.60,2769.69,15702
1710,6348.60,2994.80,17277
1740,6357.40,2997.31,17277
1770,6382.60,2993.14,17277

1800,6382.60,2993.14,17277

time delta>0:
8.80 (+/- 1.04)
[10, 6, 11, 11, 6]
