seconds,average_delta,std_error,maximum
30,13.60,1.51,18
60,16.40,1.40,20
90,17.80,0.72,20
120,24.40,2.79,36
150,24.40,2.79,36
180,25.00,2.74,36
210,26.20,2.30,36
240,27.40,2.33,36
270,29.20,2.73,36
300,31.00,3.87,45
330,32.80,3.54,45
360,32.80,3.54,45
390,32.80,3.54,45
420,32.80,3.54,45
450,32.80,3.54,45
480,32.80,3.54,45
510,32.80,3.54,45
540,36.40,4.81,51
570,36.40,4.81,51
600,36.40,4.81,51
630,804.60,438.96,2682
660,1333.20,808.93,4905
690,2167.80,806.81,4905
720,3715.80,1732.82,10410
750,5895.00,1633.26,10410
780,7074.60,1804.60,11304
810,7183.20,1790.58,11304
840,8249.40,2343.45,15741
870,8257.80,2343.24,15741
900,8385.60,2343.03,15741
930,8386.00,2342.75,15741
960,8386.00,2342.75,15741
990,9102.40,2442.68,15741
1020,10754.20,2501.64,15741
1050,10754.20,2501.64,15741
1080,10754.20,2501.64,15741
1110,10858.60,2543.23,16245
1140,11152.80,2587.38,16245
1170,11152.80,2587.38,16245
1200,11238.00,2608.62,16260
1230,11332.20,2610.87,16260
1260,11370.60,2619.13,16308
1290,11401.80,2623.82,16308
1320,11401.80,2623.82,16308
1350,11484.00,2653.89,16713
1380,11484.00,2653.89,16713
1410,11561.40,2656.82,16713
1440,11670.00,2678.16,16713
1470,11670.00,2678.16,16713
1500,11990.40,2718.12,16713
1530,11990.40,2718.12,16713
1560,11990.40,2718.12,16713
1590,12012.60,2723.30,16713
1620,12019.20,2725.05,16722
1650,12025.80,2727.34,16755
1680,12025.80,2727.34,16755
1710,12265.20,2786.42,17418
1740,12265.20,2786.42,17418
1770,12717.60,2976.63,19680

1800,14684.40,3504.91,22320

time delta>0:
6.80 (+/- 0.72)
[6, 6, 10, 6, 6]
