seconds,average_delta,std_error,maximum
30,20.60,3.80,31
60,22.00,2.90,31
90,23.80,2.29,31
120,23.80,2.29,31
150,23.80,2.29,31
180,23.80,2.29,31
210,23.80,2.29,31
240,23.80,2.29,31
270,23.80,2.29,31
300,23.80,2.29,31
330,23.80,2.29,31
360,23.80,2.29,31
390,26.20,1.82,31
420,26.20,1.82,31
450,26.20,1.82,31
480,26.20,1.82,31
510,26.20,1.82,31
540,26.20,1.82,31
570,26.20,1.82,31
600,26.20,1.82,31
630,139.00,100.63,589
660,682.60,586.83,3307
690,682.60,586.83,3307
720,683.20,586.70,3307
750,3946.60,3505.57,19624
780,3946.60,3505.57,19624
810,3946.60,3505.57,19624
840,3959.80,3517.38,19690
870,3959.80,3517.38,19690
900,4016.20,3567.83,19972
930,4016.20,3567.83,19972
960,4016.20,3567.83,19972
990,4016.20,3567.83,19972
1020,4016.20,3567.83,19972
1050,4016.20,3567.83,19972
1080,4016.20,3567.83,19972
1110,4016.20,3567.83,19972
1140,4016.20,3567.83,19972
1170,4016.20,3567.83,19972
1200,4016.20,3567.83,19972
1230,4016.20,3567.83,19972
1260,5946.80,5294.16,29623
1290,5946.80,5294.16,29623
1320,5948.20,5293.85,29623
1350,5948.20,5293.85,29623
1380,6077.20,5409.23,30268
1410,6079.00,5408.82,30268
1440,6079.00,5408.82,30268
1470,6079.00,5408.82,30268
1500,6079.20,5408.78,30268
1530,6082.20,5408.11,30268
1560,6082.20,5408.11,30268
1590,6082.20,5408.11,30268
1620,6082.20,5408.11,30268
1650,6082.20,5408.11,30268
1680,6085.20,5407.44,30268
1710,6085.20,5407.44,30268
1740,6085.20,5407.44,30268
1770,6085.20,5407.44,30268

1800,6085.20,5407.44,30268

time delta>0:
4.60 (+/- 0.83)
[6, 5, 1, 6, 5]
