seconds,average_delta,std_error,maximum
30,118.40,7.66,143
60,130.40,5.59,146
90,131.60,6.20,149
120,135.80,4.38,149
150,140.60,4.10,149
180,140.60,4.10,149
210,140.60,4.10,149
240,140.60,4.10,149
270,144.20,3.66,149
300,144.20,3.66,149
330,144.80,3.76,149
360,144.80,3.76,149
390,144.80,3.76,149
420,144.80,3.76,149
450,144.80,3.76,149
480,146.00,2.68,149
510,146.00,2.68,149
540,147.80,1.07,149
570,147.80,1.07,149
600,147.80,1.07,149
630,147.80,1.07,149
660,148.40,0.54,149
690,148.40,0.54,149
720,148.40,0.54,149
750,148.40,0.54,149
780,148.40,0.54,149
810,149.00,0.00,149
840,149.00,0.00,149
870,149.00,0.00,149
900,149.00,0.00,149
930,149.00,0.00,149
960,149.00,0.00,149
990,149.00,0.00,149
1020,149.00,0.00,149
1050,149.00,0.00,149
1080,149.00,0.00,149
1110,149.00,0.00,149
1140,149.00,0.00,149
1170,149.00,0.00,149
1200,149.00,0.00,149
1230,149.00,0.00,149
1260,149.00,0.00,149
1290,149.00,0.00,149
1320,149.00,0.00,149
1350,149.00,0.00,149
1380,149.00,0.00,149
1410,149.00,0.00,149
1440,149.00,0.00,149
1470,149.00,0.00,149
1500,149.00,0.00,149
1530,149.00,0.00,149
1560,149.00,0.00,149
1590,149.00,0.00,149
1620,149.00,0.00,149
1650,149.00,0.00,149
1680,149.00,0.00,149
1710,149.00,0.00,149
1740,149.00,0.00,149
1770,149.00,0.00,149

1800,149.00,0.00,149

time delta>0:
7.60 (+/- 1.12)
[10, 5, 7, 5, 11]
