seconds,average_delta,std_error,maximum
30,28.00,4.53,40
60,28.80,4.14,40
90,33.60,3.51,40
120,37.60,3.12,44
150,47.20,6.83,72
180,54.40,4.75,72
210,61.60,4.75,76
240,64.00,5.06,80
270,64.00,5.06,80
300,65.60,5.26,80
330,68.80,7.37,96
360,74.40,9.30,100
390,74.40,9.30,100
420,74.40,9.30,100
450,74.40,9.30,100
480,76.80,9.43,100
510,78.40,10.16,104
540,80.00,9.53,104
570,80.00,9.53,104
600,80.00,9.53,104
630,83.20,7.62,104
660,83.20,7.62,104
690,90.40,10.09,120
720,90.40,10.09,120
750,90.40,10.09,120
780,90.40,10.09,120
810,90.40,10.09,120
840,91.20,10.27,120
870,92.80,10.76,120
900,94.40,11.40,120
930,94.40,11.40,120
960,94.40,11.40,120
990,94.40,11.40,120
1020,94.40,11.40,120
1050,100.80,9.22,120
1080,101.60,9.30,120
1110,102.40,9.44,120
1140,104.00,8.16,120
1170,108.80,6.64,120
1200,108.80,6.64,120
1230,108.80,6.64,120
1260,110.40,5.26,120
1290,110.40,5.26,120
1320,112.80,3.28,120
1350,112.80,3.28,120
1380,112.80,3.28,120
1410,112.80,3.28,120
1440,112.80,3.28,120
1470,112.80,3.28,120
1500,112.80,3.28,120
1530,113.60,3.32,120
1560,113.60,3.32,120
1590,113.60,3.32,120
1620,114.40,3.32,120
1650,114.40,3.32,120
1680,114.40,3.32,120
1710,114.40,3.32,120
1740,115.20,3.47,120
1770,115.20,3.47,120

1800,115.20,3.47,120

time delta>0:
5.60 (+/- 0.36)
[5, 6, 5, 5, 7]
