seconds,average_delta,std_error,maximum
30,48.00,0.00,48
60,48.00,0.00,48
90,48.00,0.00,48
120,48.00,0.00,48
150,48.00,0.00,48
180,48.00,0.00,48
210,48.00,0.00,48
240,48.00,0.00,48
270,48.00,0.00,48
300,48.00,0.00,48
330,48.00,0.00,48
360,48.00,0.00,48
390,48.00,0.00,48
420,48.00,0.00,48
450,48.00,0.00,48
480,48.00,0.00,48
510,48.00,0.00,48
540,48.00,0.00,48
570,48.00,0.00,48
600,48.00,0.00,48
630,48.00,0.00,48
660,48.00,0.00,48
690,48.00,0.00,48
720,48.00,0.00,48
750,48.00,0.00,48
780,48.00,0.00,48
810,48.00,0.00,48
840,48.00,0.00,48
870,48.00,0.00,48
900,48.00,0.00,48
930,48.00,0.00,48
960,48.00,0.00,48
990,48.00,0.00,48
1020,48.00,0.00,48
1050,48.00,0.00,48
1080,48.00,0.00,48
1110,48.00,0.00,48
1140,48.00,0.00,48
1170,48.00,0.00,48
1200,48.00,0.00,48
1230,48.00,0.00,48
1260,48.00,0.00,48
1290,48.00,0.00,48
1320,48.00,0.00,48
1350,48.00,0.00,48
1380,48.00,0.00,48
1410,48.00,0.00,48
1440,48.00,0.00,48
1470,48.00,0.00,48
1500,48.00,0.00,48
1530,48.00,0.00,48
1560,48.00,0.00,48
1590,48.00,0.00,48
1620,48.00,0.00,48
1650,48.00,0.00,48
1680,48.00,0.00,48
1710,48.00,0.00,48
1740,48.00,0.00,48
1770,48.00,0.00,48

1800,48.00,0.00,48

time delta>0:
15.60 (+/- 1.82)
[13, 11, 21, 20, 13]
