seconds,average_delta,std_error,maximum
30,34.40,7.69,43
60,34.40,7.69,43
90,34.40,7.69,43
120,43.00,0.00,43
150,43.00,0.00,43
180,43.00,0.00,43
210,43.00,0.00,43
240,43.00,0.00,43
270,43.00,0.00,43
300,43.00,0.00,43
330,43.00,0.00,43
360,43.00,0.00,43
390,43.00,0.00,43
420,43.00,0.00,43
450,43.00,0.00,43
480,43.00,0.00,43
510,43.00,0.00,43
540,43.00,0.00,43
570,43.00,0.00,43
600,43.00,0.00,43
630,43.00,0.00,43
660,43.00,0.00,43
690,43.00,0.00,43
720,43.00,0.00,43
750,43.00,0.00,43
780,43.00,0.00,43
810,43.00,0.00,43
840,43.00,0.00,43
870,43.00,0.00,43
900,43.40,0.36,45
930,43.40,0.36,45
960,43.40,0.36,45
990,43.40,0.36,45
1020,43.40,0.36,45
1050,43.40,0.36,45
1080,43.40,0.36,45
1110,43.40,0.36,45
1140,43.40,0.36,45
1170,43.40,0.36,45
1200,43.40,0.36,45
1230,43.40,0.36,45
1260,43.40,0.36,45
1290,43.40,0.36,45
1320,43.40,0.36,45
1350,43.40,0.36,45
1380,43.40,0.36,45
1410,43.40,0.36,45
1440,43.40,0.36,45
1470,43.40,0.36,45
1500,43.40,0.36,45
1530,43.40,0.36,45
1560,43.40,0.36,45
1590,43.40,0.36,45
1620,43.40,0.36,45
1650,43.40,0.36,45
1680,43.40,0.36,45
1710,43.40,0.36,45
1740,43.40,0.36,45
1770,43.40,0.36,45

1800,43.40,0.36,45

time delta>0:
33.60 (+/- 17.15)
[13, 13, 11, 21, 110]
