seconds,average_delta,std_error,maximum
30,1.00,0.00,1
60,1.00,0.00,1
90,1.00,0.00,1
120,1.00,0.00,1
150,1.00,0.00,1
180,1.00,0.00,1
210,1.00,0.00,1
240,1.00,0.00,1
270,1.00,0.00,1
300,1.00,0.00,1
330,1.00,0.00,1
360,1.00,0.00,1
390,1.00,0.00,1
420,1.00,0.00,1
450,1.00,0.00,1
480,1.00,0.00,1
510,1.00,0.00,1
540,1.00,0.00,1
570,1.00,0.00,1
600,1.00,0.00,1
630,1.00,0.00,1
660,1.00,0.00,1
690,1.00,0.00,1
720,1.00,0.00,1
750,1.00,0.00,1
780,1.00,0.00,1
810,1.00,0.00,1
840,1.00,0.00,1
870,1.00,0.00,1
900,1.00,0.00,1
930,1.00,0.00,1
960,1.00,0.00,1
990,1.00,0.00,1
1020,1.00,0.00,1
1050,1.00,0.00,1
1080,1.00,0.00,1
1110,1.00,0.00,1
1140,1.00,0.00,1
1170,1.00,0.00,1
1200,1.00,0.00,1
1230,1.00,0.00,1
1260,1.00,0.00,1
1290,1.00,0.00,1
1320,1.00,0.00,1
1350,1.00,0.00,1
1380,1.00,0.00,1
1410,1.00,0.00,1
1440,1.00,0.00,1
1470,1.00,0.00,1
1500,1.00,0.00,1
1530,1.00,0.00,1
1560,1.00,0.00,1
1590,1.00,0.00,1
1620,1.00,0.00,1
1650,1.00,0.00,1
1680,1.00,0.00,1
1710,1.00,0.00,1
1740,1.00,0.00,1
1770,1.00,0.00,1

1800,1.00,0.00,1

time delta>0:
7.80 (+/- 1.18)
[6, 11, 5, 6, 11]
