seconds,average_delta,std_error,maximum
30,23.00,2.87,32
60,34.00,3.87,51
90,35.20,3.79,51
120,37.60,4.10,51
150,44.20,5.13,61
180,56.60,11.83,103
210,62.00,13.14,103
240,67.80,11.06,103
270,77.00,16.49,136
300,90.20,15.77,136
330,92.80,16.92,136
360,97.00,19.22,155
390,102.60,21.96,164
420,108.20,25.39,192
450,108.20,25.39,192
480,109.20,24.90,192
510,109.20,24.90,192
540,109.20,24.90,192
570,109.20,24.90,192
600,109.20,24.90,192
630,168.20,66.97,450
660,168.20,66.97,450
690,168.20,66.97,450
720,168.20,66.97,450
750,168.20,66.97,450
780,263.20,149.71,925
810,263.20,149.71,925
840,263.20,149.71,925
870,263.20,149.71,925
900,263.20,149.71,925
930,263.20,149.71,925
960,263.20,149.71,925
990,263.20,149.71,925
1020,263.20,149.71,925
1050,265.80,148.98,925
1080,265.80,148.98,925
1110,265.80,148.98,925
1140,265.80,148.98,925
1170,265.80,148.98,925
1200,265.80,148.98,925
1230,265.80,148.98,925
1260,265.80,148.98,925
1290,269.00,148.13,925
1320,269.00,148.13,925
1350,269.00,148.13,925
1380,269.00,148.13,925
1410,269.00,148.13,925
1440,269.00,148.13,925
1470,269.00,148.13,925
1500,270.20,147.83,925
1530,271.40,147.53,925
1560,271.40,147.53,925
1590,271.60,147.48,925
1620,285.00,144.66,925
1650,285.00,144.66,925
1680,285.00,144.66,925
1710,285.00,144.66,925
1740,285.00,144.66,925
1770,290.20,143.34,925

1800,290.20,143.34,925

time delta>0:
3.40 (+/- 0.88)
[5, 5, 1, 5, 1]
