seconds,average_delta,std_error,maximum
30,14590.00,1450.87,17554
60,77917.80,37068.23,243135
90,83609.20,35718.34,243135
120,115997.80,36848.97,243135
150,119705.60,35603.72,243135
180,121824.40,34806.51,243135
210,209034.40,40314.82,323680
240,219517.60,37855.38,323680
270,251490.80,46828.77,385265
300,256565.60,42899.52,385265
330,659518.40,388047.95,2388622
360,659518.40,388047.95,2388622
390,659518.40,388047.95,2388622
420,791365.60,375974.94,2388622
450,791365.60,375974.94,2388622
480,791365.60,375974.94,2388622
510,791365.60,375974.94,2388622
540,791365.60,375974.94,2388622
570,791365.60,375974.94,2388622
600,791365.60,375974.94,2388622
630,1252945.60,569679.16,3080924
660,1404407.60,642566.92,3244786
690,1404407.60,642566.92,3244786
720,1446572.60,665274.89,3291749
750,2009477.60,973573.87,4703911
780,2032035.40,986187.29,4816700
810,2584097.40,1339352.55,7407459
840,2584097.40,1339352.55,7407459
870,2584119.20,1339344.79,7407459
900,2629138.80,1354868.93,7407459
930,2679516.40,1373432.83,7407459
960,2703408.40,1382663.19,7407459
990,2703408.40,1382663.19,7407459
1020,2703408.40,1382663.19,7407459
1050,2703408.40,1382663.19,7407459
1080,2853625.60,1446592.32,7407459
1110,2853625.60,1446592.32,7407459
1140,2853625.60,1446592.32,7407459
1170,3108999.20,1575746.96,7441100
1200,3108999.20,1575746.96,7441100
1230,3194790.40,1624047.11,7870056
1260,3194790.40,1624047.11,7870056
1290,3194790.40,1624047.11,7870056
1320,3494260.60,1798823.08,9122929
1350,3494260.60,1798823.08,9122929
1380,3494260.60,1798823.08,9122929
1410,3494260.60,1798823.08,9122929
1440,3494260.60,1798823.08,9122929
1470,3502465.40,1795829.17,9122929
1500,3627566.80,1753354.16,9122929
1530,4971150.00,2733461.91,15840845
1560,4971150.00,2733461.91,15840845
1590,4971150.00,2733461.91,15840845
1620,4971150.00,2733461.91,15840845
1650,4977124.40,2731404.63,15840845
1680,4977124.40,2731404.63,15840845
1710,4996605.00,2724758.52,15840845
1740,4996605.00,2724758.52,15840845
1770,5125268.60,2827659.11,16484163

1800,5125268.60,2827659.11,16484163

time delta>0:
3.60 (+/- 0.78)
[5, 2, 5, 1, 5]
