seconds,average_delta,std_error,maximum
30,61018.00,22396.16,155578
60,91160.60,21476.97,155578
90,101379.20,15136.46,155578
120,101379.20,15136.46,155578
150,128768.80,20758.85,201969
180,138816.00,23067.20,213647
210,302693.00,120454.00,812963
240,342356.40,154477.61,1011280
270,411795.20,161731.95,1011280
300,423713.60,157159.75,1011280
330,456844.60,174080.49,1119569
360,504407.80,211476.57,1357385
390,523557.80,215550.31,1360336
420,692393.60,250083.74,1654650
450,767957.00,305909.41,2002375
480,770552.00,306221.38,2002375
510,835443.20,335954.63,2193743
540,930071.60,384136.01,2543371
570,937919.00,390734.97,2582608
600,1012692.20,404519.67,2614795
630,1012692.20,404519.67,2614795
660,1387024.60,647330.21,4028053
690,1422225.40,653134.05,4028053
720,1611280.80,707840.69,4028053
750,1623977.20,716548.06,4091535
780,2296132.00,1077298.77,5753727
810,2551926.60,1206675.33,5951504
840,4633738.20,2351864.94,12512107
870,5804721.40,2955225.32,14389583
900,5804721.40,2955225.32,14389583
930,5804721.40,2955225.32,14389583
960,5830485.60,2945599.83,14389583
990,5830485.60,2945599.83,14389583
1020,5830485.60,2945599.83,14389583
1050,5830485.60,2945599.83,14389583
1080,5830485.60,2945599.83,14389583
1110,5830485.60,2945599.83,14389583
1140,5830485.60,2945599.83,14389583
1170,5830485.60,2945599.83,14389583
1200,5830485.60,2945599.83,14389583
1230,5920322.80,2954351.20,14389583
1260,5958275.00,2941015.79,14389583
1290,6002667.40,2964315.52,14389583
1320,6458508.20,3211934.56,16066567
1350,6477411.80,3204850.64,16066567
1380,6477411.80,3204850.64,16066567
1410,6557336.20,3244861.81,16066567
1440,6557336.20,3244861.81,16066567
1470,7506672.80,3695714.32,20043808
1500,7506672.80,3695714.32,20043808
1530,7506672.80,3695714.32,20043808
1560,7507994.80,3696235.48,20043808
1590,7507994.80,3696235.48,20043808
1620,8040504.80,3929547.70,20043808
1650,8040504.80,3929547.70,20043808
1680,8067847.80,3919111.46,20043808
1710,8158661.00,3886742.74,20043808
1740,8171184.80,3882391.02,20043808
1770,8829897.00,4235560.92,21415781

1800,8829897.00,4235560.92,21415781

time delta>0:
3.40 (+/- 0.88)
[1, 5, 5, 5, 1]
