seconds,average_delta,std_error,maximum
30,3213.00,657.55,5920
60,8790.80,2045.22,14329
90,10963.60,1923.13,15476
120,12370.40,2673.76,21344
150,13653.40,2245.70,21344
180,17799.80,3124.65,26478
210,17799.80,3124.65,26478
240,20127.20,4709.13,38115
270,20258.00,4662.59,38115
300,21089.40,4428.01,38115
330,27269.80,6198.70,47242
360,42828.20,15137.52,107038
390,42828.20,15137.52,107038
420,42885.40,15140.94,107038
450,62963.20,21019.41,143410
480,93354.00,31512.87,199482
510,93607.60,31524.64,199648
540,104583.80,39443.03,254529
570,104583.80,39443.03,254529
600,110256.80,42267.40,273875
630,223721.20,106842.42,662804
660,342506.60,208724.53,1256731
690,394809.60,203933.99,1256731
720,473661.60,216523.05,1256731
750,473661.60,216523.05,1256731
780,473661.60,216523.05,1256731
810,629022.40,231896.99,1256731
840,678192.40,243016.71,1256731
870,732580.00,263444.96,1316773
900,783654.80,286709.96,1512305
930,1091866.80,452789.40,2671732
960,1091866.80,452789.40,2671732
990,1101617.80,452695.98,2671732
1020,1101617.80,452695.98,2671732
1050,1101617.80,452695.98,2671732
1080,1101617.80,452695.98,2671732
1110,1101617.80,452695.98,2671732
1140,1101617.80,452695.98,2671732
1170,1101617.80,452695.98,2671732
1200,1101617.80,452695.98,2671732
1230,1101617.80,452695.98,2671732
1260,1101617.80,452695.98,2671732
1290,1101617.80,452695.98,2671732
1320,1104132.20,454442.37,2684304
1350,1104132.20,454442.37,2684304
1380,1104132.20,454442.37,2684304
1410,1106812.40,453170.32,2684304
1440,1106812.40,453170.32,2684304
1470,1106812.40,453170.32,2684304
1500,1106812.40,453170.32,2684304
1530,1106812.40,453170.32,2684304
1560,1106812.40,453170.32,2684304
1590,1106812.40,453170.32,2684304
1620,1106812.40,453170.32,2684304
1650,1106812.40,453170.32,2684304
1680,1106812.40,453170.32,2684304
1710,1106812.40,453170.32,2684304
1740,1106812.40,453170.32,2684304
1770,1106812.40,453170.32,2684304

1800,1106812.40,453170.32,2684304

time delta>0:
2.60 (+/- 0.88)
[1, 1, 5, 1, 5]
