seconds,average_delta,std_error,maximum
30,2716.00,385.32,4137
60,6826.40,1732.11,14199
90,10319.80,1752.05,15507
120,12338.40,1628.97,15507
150,14645.20,892.35,17246
180,36299.20,12421.81,80772
210,40616.20,11008.19,80772
240,40960.60,10854.31,80772
270,41139.00,10794.61,80772
300,41139.00,10794.61,80772
330,41139.00,10794.61,80772
360,43146.80,11072.88,80772
390,43146.80,11072.88,80772
420,46965.80,10430.11,80772
450,51136.60,10970.49,80772
480,62020.40,16781.25,120829
510,63683.80,17970.89,129146
540,120699.20,52380.44,337809
570,120799.60,52463.68,338311
600,123614.40,52763.15,338508
630,124436.80,53433.90,342620
660,125935.80,54660.79,350115
690,125935.80,54660.79,350115
720,125935.80,54660.79,350115
750,125935.80,54660.79,350115
780,125935.80,54660.79,350115
810,128100.60,53907.04,350115
840,128100.60,53907.04,350115
870,128165.20,53960.26,350438
900,172989.20,92218.90,574558
930,175326.40,91449.86,574558
960,175326.40,91449.86,574558
990,175326.40,91449.86,574558
1020,175326.40,91449.86,574558
1050,175326.40,91449.86,574558
1080,175326.40,91449.86,574558
1110,175326.40,91449.86,574558
1140,175326.40,91449.86,574558
1170,175326.40,91449.86,574558
1200,191037.20,89254.30,574558
1230,206322.40,84628.67,574558
1260,210659.20,82975.53,574558
1290,210659.20,82975.53,574558
1320,210998.40,82852.49,574558
1350,221815.40,79438.36,574558
1380,221815.40,79438.36,574558
1410,222544.60,79245.42,574558
1440,222544.60,79245.42,574558
1470,242037.80,96584.53,672024
1500,242037.80,96584.53,672024
1530,242037.80,96584.53,672024
1560,242121.60,96659.14,672443
1590,246454.80,95992.20,672443
1620,256215.60,94111.76,672443
1650,262096.80,92632.15,672443
1680,262096.80,92632.15,672443
1710,266657.80,91676.24,672443
1740,281635.40,99097.57,719700
1770,287835.60,104582.59,750701

1800,287835.60,104582.59,750701

time delta>0:
3.40 (+/- 0.88)
[5, 1, 5, 5, 1]
