seconds,average_delta,std_error,maximum
30,1248.00,99.03,1584
60,1585.80,71.90,1740
90,1749.00,66.27,1989
120,1749.00,66.27,1989
150,1749.00,66.27,1989
180,1749.00,66.27,1989
210,1756.40,66.73,1989
240,1897.40,101.26,2266
270,1994.20,126.07,2310
300,2047.80,157.32,2568
330,2210.00,116.43,2568
360,2210.00,116.43,2568
390,2333.60,149.72,2760
420,2353.60,135.01,2760
450,2353.60,135.01,2760
480,2353.60,135.01,2760
510,2353.60,135.01,2760
540,2353.60,135.01,2760
570,2493.00,166.13,2825
600,2509.00,162.21,2825
630,2579.60,110.70,2825
660,2585.80,113.55,2856
690,2585.80,113.55,2856
720,2604.60,123.32,2950
750,2604.60,123.32,2950
780,2652.60,141.55,3000
810,2666.80,144.16,3050
840,2680.80,151.93,3120
870,2680.80,151.93,3120
900,2751.60,186.33,3304
930,2751.60,186.33,3304
960,2751.60,186.33,3304
990,2762.60,190.88,3304
1020,2786.40,202.03,3304
1050,2810.00,214.82,3422
1080,2810.00,214.82,3422
1110,2810.00,214.82,3422
1140,2820.80,219.84,3422
1170,2834.40,226.60,3422
1200,2847.00,233.19,3472
1230,2847.00,233.19,3472
1260,2854.20,229.52,3472
1290,2876.60,218.95,3472
1320,2876.60,218.95,3472
1350,2920.20,221.32,3472
1380,2961.40,207.31,3472
1410,2961.40,207.31,3472
1440,2961.40,207.31,3472
1470,3078.40,157.63,3472
1500,3087.00,151.98,3472
1530,3087.00,151.98,3472
1560,3087.00,151.98,3472
1590,3115.00,167.44,3612
1620,3119.40,164.74,3612
1650,3119.40,164.74,3612
1680,3119.40,164.74,3612
1710,3119.40,164.74,3612
1740,3119.40,164.74,3612
1770,3119.40,164.74,3612

1800,3119.40,164.74,3612

time delta>0:
3.20 (+/- 0.87)
[2, 1, 2, 5, 6]
