seconds,average_delta,std_error,maximum
30,0.00,0.00,0
60,0.00,0.00,0
90,0.00,0.00,0
120,0.00,0.00,0
150,0.80,0.44,2
180,0.80,0.44,2
210,1.20,0.44,2
240,1.60,0.36,2
270,1.60,0.36,2
300,1.60,0.36,2
330,1.60,0.36,2
360,1.60,0.36,2
390,2.00,0.00,2
420,2.00,0.00,2
450,2.00,0.00,2
480,2.00,0.00,2
510,2.00,0.00,2
540,2.00,0.00,2
570,2.00,0.00,2
600,2.00,0.00,2
630,2.00,0.00,2
660,2.00,0.00,2
690,2.00,0.00,2
720,2.00,0.00,2
750,2.00,0.00,2
780,2.00,0.00,2
810,2.00,0.00,2
840,2.00,0.00,2
870,2.00,0.00,2
900,2.00,0.00,2
930,2.00,0.00,2
960,2.00,0.00,2
990,2.00,0.00,2
1020,2.00,0.00,2
1050,2.00,0.00,2
1080,2.00,0.00,2
1110,2.00,0.00,2
1140,2.00,0.00,2
1170,2.00,0.00,2
1200,2.00,0.00,2
1230,2.00,0.00,2
1260,2.00,0.00,2
1290,2.00,0.00,2
1320,2.00,0.00,2
1350,2.00,0.00,2
1380,2.00,0.00,2
1410,2.00,0.00,2
1440,2.00,0.00,2
1470,2.00,0.00,2
1500,2.00,0.00,2
1530,2.00,0.00,2
1560,2.00,0.00,2
1590,2.00,0.00,2
1620,2.00,0.00,2
1650,2.00,0.00,2
1680,2.00,0.00,2
1710,2.00,0.00,2
1740,2.00,0.00,2
1770,2.00,0.00,2

1800,2.00,0.00,2

time delta>0:
209.00 (+/- 37.44)
[132, 216, 132, 204, 361]
