seconds,average_delta,std_error,maximum
30,0.00,0.00,0
60,160000001.60,143108351.99,800000008
90,160000001.60,143108351.99,800000008
120,320000003.20,175271220.15,800000008
150,480000004.80,175271220.15,800000008
180,800000004.80,391918360.15,2400000008
210,960000006.40,350542437.68,2400000008
240,960000006.40,350542437.68,2400000008
270,960000006.40,350542437.68,2400000008
300,960000006.40,350542437.68,2400000008
330,1280000006.40,429325052.63,2400000008
360,1600000006.40,452548341.09,2400000008
390,2080000008.00,286216701.12,2400000008
420,2080000008.00,286216701.12,2400000008
450,2080000008.00,286216701.12,2400000008
480,2080000008.00,286216701.12,2400000008
510,2080000008.00,286216701.12,2400000008
540,2080000008.00,286216701.12,2400000008
570,2080000008.00,286216701.12,2400000008
600,2080000008.00,286216701.12,2400000008
630,2080000008.00,286216701.12,2400000008
660,2080000008.00,286216701.12,2400000008
690,2080000008.00,286216701.12,2400000008
720,2080000008.00,286216701.12,2400000008
750,2400000008.00,391918358.85,3200000008
780,2720000008.00,175271218.40,3200000008
810,2720000008.00,175271218.40,3200000008
840,2720000008.00,175271218.40,3200000008
870,2720000008.00,175271218.40,3200000008
900,2720000008.00,175271218.40,3200000008
930,2720000008.00,175271218.40,3200000008
960,2720000008.00,175271218.40,3200000008
990,2720000008.00,175271218.40,3200000008
1020,2720000008.00,175271218.40,3200000008
1050,2880000008.00,175271218.40,3200000008
1080,2880000008.00,175271218.40,3200000008
1110,2880000008.00,175271218.40,3200000008
1140,2880000008.00,175271218.40,3200000008
1170,2880000008.00,175271218.40,3200000008
1200,2880000008.00,175271218.40,3200000008
1230,2880000008.00,175271218.40,3200000008
1260,2880000008.00,175271218.40,3200000008
1290,2880000008.00,175271218.40,3200000008
1320,2880000008.00,175271218.40,3200000008
1350,2880000008.00,175271218.40,3200000008
1380,2880000008.00,175271218.40,3200000008
1410,2880000008.00,175271218.40,3200000008
1440,2880000008.00,175271218.40,3200000008
1470,2880000008.00,175271218.40,3200000008
1500,2880000008.00,175271218.40,3200000008
1530,2880000008.00,175271218.40,3200000008
1560,2880000008.00,175271218.40,3200000008
1590,2880000008.00,175271218.40,3200000008
1620,3040000008.00,143108350.56,3200000008
1650,3040000008.00,143108350.56,3200000008
1680,3040000008.00,143108350.56,3200000008
1710,3040000008.00,143108350.56,3200000008
1740,3040000008.00,143108350.56,3200000008
1770,3200000008.00,0.00,3200000008

1800,3200000008.00,0.00,3200000008

time delta>0:
177.60 (+/- 52.91)
[106, 207, 143, 43, 389]
