seconds,average_delta,std_error,maximum
30,68.40,11.27,117
60,86.40,8.67,117
90,88.20,8.21,117
120,88.20,8.21,117
150,93.60,6.02,117
180,93.60,6.02,117
210,93.60,6.02,117
240,93.60,6.02,117
270,99.00,8.44,126
300,99.00,8.44,126
330,100.80,7.80,126
360,100.80,7.80,126
390,100.80,7.80,126
420,100.80,7.80,126
450,100.80,7.80,126
480,100.80,7.80,126
510,100.80,7.80,126
540,100.80,7.80,126
570,100.80,7.80,126
600,100.80,7.80,126
630,102.60,7.02,126
660,102.60,7.02,126
690,102.60,7.02,126
720,102.60,7.02,126
750,104.40,6.54,126
780,104.40,6.54,126
810,106.20,5.92,126
840,106.20,5.92,126
870,108.00,5.69,126
900,108.00,5.69,126
930,108.00,5.69,126
960,108.00,5.69,126
990,108.00,5.69,126
1020,109.80,6.92,135
1050,109.80,6.92,135
1080,111.60,7.02,135
1110,111.60,7.02,135
1140,113.40,8.29,144
1170,120.60,9.73,144
1200,122.40,10.68,153
1230,124.20,9.66,153
1260,124.20,9.66,153
1290,124.20,9.66,153
1320,126.00,10.18,153
1350,129.60,11.27,153
1380,138.60,12.10,171
1410,138.60,12.10,171
1440,138.60,12.10,171
1470,138.60,12.10,171
1500,138.60,12.10,171
1530,138.60,12.10,171
1560,140.40,11.55,171
1590,140.40,11.55,171
1620,140.40,11.55,171
1650,140.40,11.55,171
1680,142.20,11.21,171
1710,142.20,11.21,171
1740,142.20,11.21,171
1770,142.20,11.21,171

1800,142.20,11.21,171

time delta>0:
2.80 (+/- 1.00)
[1, 1, 5, 1, 6]
