seconds,average_delta,std_error,maximum
30,47.00,0.00,47
60,47.00,0.00,47
90,47.00,0.00,47
120,47.00,0.00,47
150,47.00,0.00,47
180,47.00,0.00,47
210,47.00,0.00,47
240,47.00,0.00,47
270,47.00,0.00,47
300,47.00,0.00,47
330,47.00,0.00,47
360,47.00,0.00,47
390,47.00,0.00,47
420,47.00,0.00,47
450,47.00,0.00,47
480,47.00,0.00,47
510,47.00,0.00,47
540,47.00,0.00,47
570,47.00,0.00,47
600,47.00,0.00,47
630,47.00,0.00,47
660,47.00,0.00,47
690,47.00,0.00,47
720,47.00,0.00,47
750,47.00,0.00,47
780,47.00,0.00,47
810,47.00,0.00,47
840,47.00,0.00,47
870,47.00,0.00,47
900,47.00,0.00,47
930,47.00,0.00,47
960,47.00,0.00,47
990,47.00,0.00,47
1020,47.00,0.00,47
1050,47.00,0.00,47
1080,47.00,0.00,47
1110,47.00,0.00,47
1140,47.00,0.00,47
1170,47.00,0.00,47
1200,47.00,0.00,47
1230,47.00,0.00,47
1260,47.00,0.00,47
1290,47.00,0.00,47
1320,47.00,0.00,47
1350,47.00,0.00,47
1380,47.00,0.00,47
1410,47.00,0.00,47
1440,47.00,0.00,47
1470,47.00,0.00,47
1500,47.00,0.00,47
1530,47.00,0.00,47
1560,47.00,0.00,47
1590,47.00,0.00,47
1620,47.00,0.00,47
1650,47.00,0.00,47
1680,47.00,0.00,47
1710,47.00,0.00,47
1740,47.00,0.00,47
1770,47.00,0.00,47

1800,47.00,0.00,47

time delta>0:
5.80 (+/- 0.44)
[5, 7, 5, 5, 7]
