seconds,average_delta,std_error,maximum
30,16.00,0.00,16
60,16.00,0.00,16
90,16.00,0.00,16
120,16.00,0.00,16
150,16.00,0.00,16
180,16.00,0.00,16
210,16.00,0.00,16
240,16.00,0.00,16
270,16.00,0.00,16
300,16.00,0.00,16
330,16.00,0.00,16
360,16.00,0.00,16
390,16.00,0.00,16
420,16.00,0.00,16
450,16.00,0.00,16
480,16.00,0.00,16
510,16.00,0.00,16
540,16.00,0.00,16
570,16.00,0.00,16
600,16.00,0.00,16
630,16.00,0.00,16
660,16.00,0.00,16
690,16.00,0.00,16
720,16.00,0.00,16
750,16.00,0.00,16
780,16.00,0.00,16
810,16.00,0.00,16
840,16.00,0.00,16
870,16.00,0.00,16
900,16.00,0.00,16
930,16.00,0.00,16
960,16.00,0.00,16
990,16.00,0.00,16
1020,16.00,0.00,16
1050,16.00,0.00,16
1080,16.00,0.00,16
1110,16.00,0.00,16
1140,16.00,0.00,16
1170,16.00,0.00,16
1200,16.00,0.00,16
1230,16.00,0.00,16
1260,16.00,0.00,16
1290,16.00,0.00,16
1320,16.00,0.00,16
1350,16.00,0.00,16
1380,16.00,0.00,16
1410,16.00,0.00,16
1440,16.00,0.00,16
1470,16.00,0.00,16
1500,16.00,0.00,16
1530,16.00,0.00,16
1560,16.00,0.00,16
1590,16.00,0.00,16
1620,16.00,0.00,16
1650,16.00,0.00,16
1680,16.00,0.00,16
1710,16.00,0.00,16
1740,16.00,0.00,16
1770,16.00,0.00,16

1800,16.00,0.00,16

time delta>0:
5.40 (+/- 0.22)
[6, 5, 5, 5, 6]
