Input file; Time; Memory; Instr.; User-Defined
fuzzer-out-5/afl/queue/id:000000,orig:example.txt; 0; 0; 0; 0
fuzzer-out-5/afl/queue/id:000001,src:000000,op:havoc,rep:64,+cov; 500000; 0; 10; 0
fuzzer-out-5/afl/queue/id:000002,src:000000,op:havoc,rep:2,+cov; 502100; 257425408; 18; 0
fuzzer-out-5/afl/queue/id:000003,src:000000,op:havoc,rep:64; 739100; 257425408; 26; 0
fuzzer-out-5/afl/queue/id:000004,src:000000,op:havoc,rep:128; 986300; 257425408; 50; 0
fuzzer-out-5/afl/queue/id:000005,src:000000,op:havoc,rep:128,+cov; 498600; 257425408; 18; 0
fuzzer-out-5/afl/queue/id:000006,src:000000,op:havoc,rep:8; 546500; 257425408; 34; 0
fuzzer-out-5/afl/queue/id:000007,src:000000,op:havoc,rep:16; 552600; 257425408; 42; 0
fuzzer-out-5/afl/queue/id:000008,src:000000,op:havoc,rep:64; 610000; 257425408; 82; 0
fuzzer-out-5/afl/queue/id:000009,src:000000,op:havoc,rep:128; 438200; 257425408; 26; 0
fuzzer-out-5/afl/queue/id:000010,src:000000,op:havoc,rep:2; 583600; 257425408; 26; 0
fuzzer-out-5/afl/queue/id:000011,src:000000,op:havoc,rep:16; 445200; 257425408; 42; 0
fuzzer-out-5/afl/queue/id:000012,src:000004,op:havoc,rep:64; 767900; 257425408; 138; 0
