seconds,average_delta,std_error,maximum
30,30.80,3.09,44
60,30.80,3.09,44
90,35.00,4.46,47
120,39.20,3.94,47
150,40.40,3.51,47
180,40.80,3.20,47
210,40.80,3.20,47
240,40.80,3.20,47
270,40.80,3.20,47
300,43.80,1.82,47
330,43.80,1.82,47
360,46.00,0.57,47
390,46.00,0.57,47
420,46.00,0.57,47
450,46.00,0.57,47
480,46.60,0.36,47
510,46.60,0.36,47
540,46.60,0.36,47
570,46.60,0.36,47
600,46.60,0.36,47
630,46.60,0.36,47
660,46.60,0.36,47
690,46.60,0.36,47
720,46.60,0.36,47
750,46.60,0.36,47
780,46.60,0.36,47
810,46.60,0.36,47
840,46.60,0.36,47
870,46.60,0.36,47
900,46.60,0.36,47
930,46.60,0.36,47
960,46.60,0.36,47
990,46.60,0.36,47
1020,46.60,0.36,47
1050,46.60,0.36,47
1080,46.60,0.36,47
1110,46.60,0.36,47
1140,47.00,0.00,47
1170,47.00,0.00,47
1200,47.00,0.00,47
1230,47.00,0.00,47
1260,47.00,0.00,47
1290,47.00,0.00,47
1320,47.00,0.00,47
1350,47.00,0.00,47
1380,47.00,0.00,47
1410,47.00,0.00,47
1440,47.00,0.00,47
1470,47.00,0.00,47
1500,47.00,0.00,47
1530,47.00,0.00,47
1560,47.00,0.00,47
1590,47.00,0.00,47
1620,47.00,0.00,47
1650,47.00,0.00,47
1680,47.00,0.00,47
1710,47.00,0.00,47
1740,47.00,0.00,47
1770,47.00,0.00,47

1800,47.00,0.00,47

time delta>0:
5.60 (+/- 0.22)
[6, 5, 5, 6, 6]
