seconds,average_delta,std_error,maximum
30,7.00,0.00,7
60,7.00,0.00,7
90,7.00,0.00,7
120,7.00,0.00,7
150,7.00,0.00,7
180,7.00,0.00,7
210,7.00,0.00,7
240,7.00,0.00,7
270,7.00,0.00,7
300,7.00,0.00,7
330,7.00,0.00,7
360,7.00,0.00,7
390,7.00,0.00,7
420,7.00,0.00,7
450,7.00,0.00,7
480,7.00,0.00,7
510,7.00,0.00,7
540,7.00,0.00,7
570,7.00,0.00,7
600,7.00,0.00,7
630,7.00,0.00,7
660,7.00,0.00,7
690,7.00,0.00,7
720,7.00,0.00,7
750,7.00,0.00,7
780,7.00,0.00,7
810,7.00,0.00,7
840,7.00,0.00,7
870,7.00,0.00,7
900,7.00,0.00,7
930,7.00,0.00,7
960,7.00,0.00,7
990,7.00,0.00,7
1020,7.00,0.00,7
1050,7.00,0.00,7
1080,7.00,0.00,7
1110,7.00,0.00,7
1140,7.00,0.00,7
1170,7.00,0.00,7
1200,7.00,0.00,7
1230,7.00,0.00,7
1260,7.00,0.00,7
1290,7.00,0.00,7
1320,7.00,0.00,7
1350,7.00,0.00,7
1380,7.00,0.00,7
1410,7.00,0.00,7
1440,7.00,0.00,7
1470,7.00,0.00,7
1500,7.00,0.00,7
1530,7.00,0.00,7
1560,7.00,0.00,7
1590,7.00,0.00,7
1620,7.00,0.00,7
1650,7.00,0.00,7
1680,7.00,0.00,7
1710,7.00,0.00,7
1740,7.00,0.00,7
1770,7.00,0.00,7

1800,7.00,0.00,7

time delta>0:
4.40 (+/- 0.78)
[5, 6, 1, 5, 5]
