seconds,average_delta,std_error,maximum
30,8.00,0.00,8
60,8.00,0.00,8
90,8.00,0.00,8
120,8.00,0.00,8
150,8.00,0.00,8
180,8.00,0.00,8
210,8.00,0.00,8
240,8.00,0.00,8
270,8.00,0.00,8
300,8.00,0.00,8
330,8.00,0.00,8
360,8.00,0.00,8
390,8.00,0.00,8
420,8.00,0.00,8
450,8.00,0.00,8
480,8.00,0.00,8
510,8.00,0.00,8
540,8.00,0.00,8
570,8.00,0.00,8
600,8.00,0.00,8
630,8.00,0.00,8
660,8.00,0.00,8
690,8.00,0.00,8
720,8.00,0.00,8
750,8.00,0.00,8
780,8.00,0.00,8
810,8.00,0.00,8
840,8.00,0.00,8
870,8.00,0.00,8
900,8.00,0.00,8
930,8.00,0.00,8
960,8.00,0.00,8
990,8.00,0.00,8
1020,8.00,0.00,8
1050,8.00,0.00,8
1080,8.00,0.00,8
1110,8.00,0.00,8
1140,8.00,0.00,8
1170,8.00,0.00,8
1200,8.00,0.00,8
1230,8.00,0.00,8
1260,8.00,0.00,8
1290,8.00,0.00,8
1320,8.00,0.00,8
1350,8.00,0.00,8
1380,8.00,0.00,8
1410,8.00,0.00,8
1440,8.00,0.00,8
1470,8.00,0.00,8
1500,8.00,0.00,8
1530,8.00,0.00,8
1560,8.00,0.00,8
1590,8.00,0.00,8
1620,8.00,0.00,8
1650,8.00,0.00,8
1680,8.00,0.00,8
1710,8.00,0.00,8
1740,8.00,0.00,8
1770,8.00,0.00,8

1800,8.00,0.00,8

time delta>0:
4.00 (+/- 0.94)
[2, 6, 6, 5, 1]
