seconds,average_delta,std_error,maximum
30,8.00,1.02,11
60,12.20,2.67,24
90,13.60,2.48,24
120,16.20,1.91,24
150,16.20,1.91,24
180,18.60,1.66,24
210,19.60,2.13,26
240,19.80,2.03,26
270,20.20,2.03,26
300,23.20,4.27,41
330,23.20,4.27,41
360,24.40,5.29,47
390,25.40,5.00,47
420,25.40,5.00,47
450,25.60,4.97,47
480,25.60,4.97,47
510,25.80,4.94,47
540,25.80,4.94,47
570,25.80,4.94,47
600,25.80,4.94,47
630,45.40,17.60,121
660,49.40,21.06,141
690,59.80,22.81,141
720,624.60,338.16,1771
750,1121.60,666.96,3778
780,1138.40,670.40,3778
810,1208.80,717.78,4059
840,1304.40,794.68,4537
870,1476.00,936.46,5395
900,1476.00,936.46,5395
930,1476.00,936.46,5395
960,1476.00,936.46,5395
990,1561.00,1007.96,5820
1020,1561.00,1007.96,5820
1050,1561.80,1008.02,5820
1080,2464.40,1790.31,10333
1110,2464.40,1790.31,10333
1140,2464.40,1790.31,10333
1170,2464.40,1790.31,10333
1200,2464.40,1790.31,10333
1230,2464.40,1790.31,10333
1260,2498.00,1788.56,10333
1290,2840.00,2089.10,12043
1320,2840.00,2089.10,12043
1350,3911.60,2228.22,12043
1380,3911.80,2228.15,12043
1410,3911.80,2228.15,12043
1440,3911.80,2228.15,12043
1470,3911.80,2228.15,12043
1500,3911.80,2228.15,12043
1530,4851.40,2833.92,15685
1560,4851.40,2833.92,15685
1590,5774.80,3172.20,15685
1620,5982.40,3272.27,15685
1650,6232.40,3424.62,16935
1680,7848.40,4553.61,25015
1710,7848.40,4553.61,25015
1740,7849.20,4553.33,25015
1770,7874.60,4560.18,25015

1800,7874.60,4560.18,25015

time delta>0:
3.40 (+/- 0.88)
[5, 1, 1, 5, 5]
