seconds,average_delta,std_error,maximum
30,4.20,0.33,5
60,4.80,0.59,7
90,5.60,0.54,7
120,6.00,0.40,7
150,7.60,1.00,12
180,8.40,0.88,12
210,10.20,0.95,13
240,11.40,1.00,13
270,12.00,1.30,16
300,12.00,1.30,16
330,12.00,1.30,16
360,12.00,1.30,16
390,12.00,1.30,16
420,12.00,1.30,16
450,12.00,1.30,16
480,12.00,1.30,16
510,12.00,1.30,16
540,12.00,1.30,16
570,12.00,1.30,16
600,12.40,1.56,18
630,85.40,50.14,302
660,112.40,70.63,421
690,175.60,93.67,530
720,288.00,151.37,787
750,1404.20,908.89,5247
780,1708.60,969.09,5247
810,1803.60,1002.26,5247
840,2591.40,1449.89,7655
870,2827.20,1547.28,7655
900,2917.20,1590.57,7655
930,3004.20,1635.09,7655
960,3007.60,1633.86,7655
990,3039.40,1650.75,7655
1020,3134.60,1701.85,7933
1050,4157.60,2384.67,13038
1080,4157.60,2384.67,13038
1110,4461.60,2487.14,13038
1140,4611.20,2591.71,13786
1170,5110.40,2814.33,14238
1200,5110.80,2814.19,14238
1230,5110.80,2814.19,14238
1260,5110.80,2814.19,14238
1290,5110.80,2814.19,14238
1320,5110.80,2814.19,14238
1350,5111.80,2813.83,14238
1380,5113.40,2813.26,14238
1410,5113.40,2813.26,14238
1440,5113.40,2813.26,14238
1470,5113.40,2813.26,14238
1500,5113.40,2813.26,14238
1530,5113.40,2813.26,14238
1560,5113.40,2813.26,14238
1590,5113.40,2813.26,14238
1620,5113.40,2813.26,14238
1650,5136.60,2805.03,14238
1680,5136.60,2805.03,14238
1710,5194.80,2784.97,14238
1740,5194.80,2784.97,14238
1770,5194.80,2784.97,14238

1800,5315.80,2864.52,14843

time delta>0:
8.20 (+/- 1.43)
[5, 5, 12, 12, 7]
