seconds,average_delta,std_error,maximum
30,13.00,3.71,26
60,26.40,1.91,33
90,34.60,1.87,42
120,39.40,2.57,45
150,39.40,2.57,45
180,39.40,2.57,45
210,39.40,2.57,45
240,45.20,0.82,47
270,46.80,0.82,50
300,46.80,0.82,50
330,46.80,0.82,50
360,47.20,0.72,50
390,47.20,0.72,50
420,48.20,0.66,50
450,48.20,0.66,50
480,48.20,0.66,50
510,48.20,0.66,50
540,48.20,0.66,50
570,48.20,0.66,50
600,48.20,0.66,50
630,48.20,0.66,50
660,48.80,0.66,50
690,48.80,0.66,50
720,48.80,0.66,50
750,48.80,0.66,50
780,48.80,0.66,50
810,48.80,0.66,50
840,48.80,0.66,50
870,48.80,0.66,50
900,48.80,0.66,50
930,48.80,0.66,50
960,48.80,0.66,50
990,48.80,0.66,50
1020,48.80,0.66,50
1050,48.80,0.66,50
1080,48.80,0.66,50
1110,48.80,0.66,50
1140,48.80,0.66,50
1170,48.80,0.66,50
1200,48.80,0.66,50
1230,48.80,0.66,50
1260,48.80,0.66,50
1290,48.80,0.66,50
1320,48.80,0.66,50
1350,48.80,0.66,50
1380,48.80,0.66,50
1410,48.80,0.66,50
1440,48.80,0.66,50
1470,48.80,0.66,50
1500,48.80,0.66,50
1530,49.40,0.54,50
1560,49.40,0.54,50
1590,49.40,0.54,50
1620,49.40,0.54,50
1650,49.40,0.54,50
1680,49.40,0.54,50
1710,49.40,0.54,50
1740,49.40,0.54,50
1770,49.40,0.54,50

1800,49.40,0.54,50

time delta>0:
6.80 (+/- 0.77)
[7, 10, 6, 5, 6]
