seconds,average_delta,std_error,maximum
30,6.00,0.00,6
60,6.00,0.00,6
90,6.00,0.00,6
120,6.00,0.00,6
150,6.00,0.00,6
180,6.00,0.00,6
210,6.00,0.00,6
240,6.00,0.00,6
270,6.00,0.00,6
300,6.00,0.00,6
330,6.00,0.00,6
360,6.00,0.00,6
390,6.00,0.00,6
420,6.00,0.00,6
450,6.00,0.00,6
480,6.00,0.00,6
510,6.00,0.00,6
540,6.00,0.00,6
570,6.00,0.00,6
600,6.00,0.00,6
630,6.00,0.00,6
660,6.00,0.00,6
690,6.00,0.00,6
720,6.00,0.00,6
750,6.00,0.00,6
780,6.00,0.00,6
810,6.00,0.00,6
840,6.00,0.00,6
870,6.00,0.00,6
900,6.00,0.00,6
930,6.00,0.00,6
960,6.00,0.00,6
990,6.00,0.00,6
1020,6.00,0.00,6
1050,6.00,0.00,6
1080,6.00,0.00,6
1110,6.00,0.00,6
1140,6.00,0.00,6
1170,6.00,0.00,6
1200,6.00,0.00,6
1230,6.00,0.00,6
1260,6.00,0.00,6
1290,6.00,0.00,6
1320,6.00,0.00,6
1350,6.00,0.00,6
1380,6.00,0.00,6
1410,6.00,0.00,6
1440,6.00,0.00,6
1470,6.00,0.00,6
1500,6.00,0.00,6
1530,6.00,0.00,6
1560,6.00,0.00,6
1590,6.00,0.00,6
1620,6.00,0.00,6
1650,6.00,0.00,6
1680,6.00,0.00,6
1710,6.00,0.00,6
1740,6.00,0.00,6
1770,6.00,0.00,6

1800,6.00,0.00,6

time delta>0:
2.40 (+/- 0.61)
[2, 5, 1, 2, 2]
