seconds,average_delta,std_error,maximum
30,15.00,2.61,25
60,20.00,2.83,27
90,22.20,1.99,27
120,22.20,1.99,27
150,23.60,2.66,32
180,23.60,2.66,32
210,25.40,1.66,32
240,25.40,1.66,32
270,25.40,1.66,32
300,25.40,1.66,32
330,25.80,1.58,32
360,27.20,2.18,34
390,27.20,2.18,34
420,27.20,2.18,34
450,27.20,2.18,34
480,27.20,2.18,34
510,28.40,1.97,34
540,28.40,1.97,34
570,28.40,1.97,34
600,28.40,1.97,34
630,39.20,4.73,52
660,45.00,6.10,63
690,52.20,9.80,87
720,52.80,10.23,90
750,77.20,18.03,127
780,93.80,23.94,154
810,95.00,24.25,154
840,95.00,24.25,154
870,594.80,454.14,2623
900,3383.00,2942.12,16540
930,3383.00,2942.12,16540
960,3395.80,2939.31,16540
990,3395.80,2939.31,16540
1020,3395.80,2939.31,16540
1050,3396.40,2939.18,16540
1080,3396.40,2939.18,16540
1110,3398.80,2938.65,16540
1140,3398.80,2938.65,16540
1170,3398.80,2938.65,16540
1200,3398.80,2938.65,16540
1230,3398.80,2938.65,16540
1260,8478.60,4767.23,25573
1290,8479.80,4766.81,25573
1320,8479.80,4766.81,25573
1350,8479.80,4766.81,25573
1380,8481.20,4766.31,25573
1410,8481.20,4766.31,25573
1440,8481.20,4766.31,25573
1470,8614.40,4812.62,25573
1500,8614.40,4812.62,25573
1530,8614.40,4812.62,25573
1560,9617.60,5235.84,25573
1590,9627.20,5232.40,25573
1620,9992.60,5110.30,25573
1650,9994.40,5109.74,25573
1680,10003.40,5106.96,25573
1710,11988.60,4794.51,25573
1740,12090.60,4795.69,25573
1770,12107.00,4799.93,25609

1800,12107.00,4799.93,25609

time delta>0:
3.00 (+/- 0.75)
[5, 2, 5, 2, 1]
