seconds,average_delta,std_error,maximum
30,9.20,0.52,11
60,11.00,0.28,12
90,12.40,0.83,16
120,15.20,0.77,17
150,15.40,0.83,17
180,15.40,0.83,17
210,16.20,0.33,17
240,16.40,0.22,17
270,16.40,0.22,17
300,16.40,0.22,17
330,16.40,0.22,17
360,17.00,0.28,18
390,17.20,0.33,18
420,17.20,0.33,18
450,17.20,0.33,18
480,17.20,0.33,18
510,17.20,0.33,18
540,17.20,0.33,18
570,17.20,0.33,18
600,17.20,0.33,18
630,146.00,112.03,647
660,160.20,119.17,693
690,263.00,209.09,1198
720,264.20,208.83,1198
750,267.60,208.08,1198
780,306.80,201.73,1198
810,306.80,201.73,1198
840,322.60,215.70,1277
870,1027.20,606.17,3490
900,1027.20,606.17,3490
930,1027.20,606.17,3490
960,1027.20,606.17,3490
990,1027.20,606.17,3490
1020,1028.80,605.67,3490
1050,1030.00,605.29,3490
1080,1030.00,605.29,3490
1110,1099.80,662.54,3839
1140,1437.00,948.36,5525
1170,1473.00,938.33,5525
1200,2495.20,1221.31,6748
1230,2725.60,1291.28,7442
1260,3896.40,1252.70,7442
1290,4329.40,1355.52,7442
1320,4554.00,1466.01,8537
1350,4809.60,1371.25,8537
1380,5422.00,1642.61,10550
1410,5422.00,1642.61,10550
1440,5490.60,1655.57,10550
1470,5687.40,1698.17,10550
1500,5815.20,1734.04,10550
1530,6061.80,1821.06,10582
1560,6253.40,1869.64,10833
1590,7307.80,2260.25,13737
1620,7406.40,2258.83,13737
1650,8778.80,2123.21,13737
1680,8816.60,2120.94,13737
1710,8816.80,2120.93,13737
1740,8941.40,2173.58,14207
1770,9182.40,2253.05,14806

1800,9501.20,2376.14,15700

time delta>0:
1.80 (+/- 0.72)
[1, 1, 5, 1, 1]
