seconds,average_delta,std_error,maximum
30,10.20,1.61,15
60,11.40,1.15,15
90,12.40,0.92,15
120,12.40,0.92,15
150,16.20,1.99,23
180,17.00,2.58,27
210,17.40,2.63,28
240,18.00,2.58,28
270,19.60,3.13,33
300,19.60,3.13,33
330,20.40,3.82,37
360,20.40,3.82,37
390,20.40,3.82,37
420,20.40,3.82,37
450,20.40,3.82,37
480,20.40,3.82,37
510,20.80,3.79,37
540,20.80,3.79,37
570,21.20,3.66,37
600,21.20,3.66,37
630,202.40,99.68,492
660,1793.20,963.03,4542
690,1798.00,961.33,4542
720,1798.00,961.33,4542
750,1959.60,1057.06,5338
780,1963.60,1055.67,5338
810,2082.40,1110.38,5338
840,2160.80,1151.59,5340
870,2164.80,1150.19,5340
900,2164.80,1150.19,5340
930,2362.40,1265.32,6276
960,2365.20,1266.64,6276
990,2394.00,1281.18,6306
1020,2714.00,1446.33,6798
1050,2714.00,1446.33,6798
1080,2714.00,1446.33,6798
1110,2714.00,1446.33,6798
1140,2764.40,1475.21,7050
1170,2775.60,1471.32,7050
1200,2837.40,1456.54,7050
1230,3341.40,1390.67,7050
1260,3341.80,1390.48,7050
1290,3436.00,1427.13,7210
1320,3436.00,1427.13,7210
1350,3436.00,1427.13,7210
1380,3436.00,1427.13,7210
1410,3693.60,1471.15,7540
1440,3932.40,1485.88,7540
1470,3965.20,1490.02,7540
1500,4800.00,1769.90,9202
1530,4800.00,1769.90,9202
1560,4866.20,1802.66,9529
1590,4866.60,1802.44,9529
1620,4866.60,1802.44,9529
1650,4866.60,1802.44,9529
1680,4870.60,1803.49,9529
1710,4961.80,1829.01,9529
1740,4961.80,1829.01,9529
1770,5056.20,1858.84,9529

1800,5081.80,1865.81,9529

time delta>0:
5.60 (+/- 0.22)
[5, 6, 5, 6, 6]
