seconds,average_delta,std_error,maximum
30,4.40,0.92,8
60,6.60,0.46,8
90,6.80,0.52,8
120,6.80,0.52,8
150,8.00,0.49,10
180,8.60,0.46,10
210,8.80,0.44,10
240,9.20,0.18,10
270,9.60,0.36,11
300,10.00,0.40,11
330,12.00,2.04,21
360,12.40,1.95,21
390,12.40,1.95,21
420,12.40,1.95,21
450,12.60,1.93,21
480,12.60,1.93,21
510,13.40,2.01,21
540,13.40,2.01,21
570,13.40,2.01,21
600,13.40,2.01,21
630,50.80,31.24,190
660,729.40,562.26,3228
690,1672.20,1366.48,7770
720,1672.20,1366.48,7770
750,1919.20,1373.60,7938
780,2000.00,1430.26,8280
810,2396.80,1452.80,8285
840,2427.40,1458.04,8285
870,2598.40,1461.26,8525
900,3505.60,1461.37,8623
930,3675.80,1506.90,8623
960,4001.00,1537.26,8623
990,4001.00,1537.26,8623
1020,4368.20,1659.05,9146
1050,4633.20,1747.33,9146
1080,4737.20,1789.38,9146
1110,5315.20,1997.54,10407
1140,5363.00,2006.06,10407
1170,5369.20,2007.23,10407
1200,5369.20,2007.23,10407
1230,5369.20,2007.23,10407
1260,5369.20,2007.23,10407
1290,5379.20,2009.15,10407
1320,5379.20,2009.15,10407
1350,5469.00,2028.05,10407
1380,5469.00,2028.05,10407
1410,5470.20,2027.41,10407
1440,5470.20,2027.41,10407
1470,5473.00,2028.16,10418
1500,5756.60,2176.86,11836
1530,5756.60,2176.86,11836
1560,5756.60,2176.86,11836
1590,5790.00,2187.44,11836
1620,5851.40,2199.23,11836
1650,5851.40,2199.23,11836
1680,5851.40,2199.23,11836
1710,5851.40,2199.23,11836
1740,5851.40,2199.23,11836
1770,5852.00,2198.91,11836

1800,5864.00,2201.22,11836

time delta>0:
9.00 (+/- 1.94)
[17, 10, 7, 6, 5]
