seconds,average_delta,std_error,maximum
30,24.00,0.00,24
60,24.00,0.00,24
90,24.00,0.00,24
120,24.00,0.00,24
150,24.00,0.00,24
180,24.00,0.00,24
210,24.00,0.00,24
240,24.00,0.00,24
270,24.00,0.00,24
300,24.00,0.00,24
330,24.00,0.00,24
360,24.00,0.00,24
390,24.00,0.00,24
420,24.00,0.00,24
450,24.00,0.00,24
480,24.00,0.00,24
510,24.00,0.00,24
540,24.00,0.00,24
570,24.00,0.00,24
600,24.00,0.00,24
630,24.00,0.00,24
660,24.00,0.00,24
690,24.00,0.00,24
720,24.00,0.00,24
750,24.00,0.00,24
780,24.00,0.00,24
810,24.00,0.00,24
840,24.00,0.00,24
870,24.00,0.00,24
900,24.00,0.00,24
930,24.00,0.00,24
960,24.00,0.00,24
990,24.00,0.00,24
1020,24.00,0.00,24
1050,24.00,0.00,24
1080,24.00,0.00,24
1110,24.00,0.00,24
1140,24.00,0.00,24
1170,24.00,0.00,24
1200,24.00,0.00,24
1230,24.00,0.00,24
1260,24.00,0.00,24
1290,24.00,0.00,24
1320,24.00,0.00,24
1350,24.00,0.00,24
1380,24.00,0.00,24
1410,24.00,0.00,24
1440,24.00,0.00,24
1470,24.00,0.00,24
1500,24.00,0.00,24
1530,24.00,0.00,24
1560,24.00,0.00,24
1590,24.00,0.00,24
1620,24.00,0.00,24
1650,24.00,0.00,24
1680,24.00,0.00,24
1710,24.00,0.00,24
1740,24.00,0.00,24
1770,24.00,0.00,24

1800,24.00,0.00,24

time delta>0:
8.60 (+/- 1.40)
[10, 13, 5, 5, 10]
