seconds,average_delta,std_error,maximum
30,28.80,10.52,48
60,29.20,10.30,48
90,38.40,8.59,48
120,48.00,0.00,48
150,48.00,0.00,48
180,48.00,0.00,48
210,48.00,0.00,48
240,48.00,0.00,48
270,48.00,0.00,48
300,48.00,0.00,48
330,48.00,0.00,48
360,48.00,0.00,48
390,48.00,0.00,48
420,48.00,0.00,48
450,48.00,0.00,48
480,48.00,0.00,48
510,48.00,0.00,48
540,48.00,0.00,48
570,48.00,0.00,48
600,48.00,0.00,48
630,48.00,0.00,48
660,48.00,0.00,48
690,48.00,0.00,48
720,48.00,0.00,48
750,48.00,0.00,48
780,48.00,0.00,48
810,48.40,0.36,50
840,48.40,0.36,50
870,48.40,0.36,50
900,48.40,0.36,50
930,48.40,0.36,50
960,48.40,0.36,50
990,48.40,0.36,50
1020,48.40,0.36,50
1050,48.40,0.36,50
1080,48.40,0.36,50
1110,48.40,0.36,50
1140,48.40,0.36,50
1170,48.40,0.36,50
1200,48.40,0.36,50
1230,48.40,0.36,50
1260,48.40,0.36,50
1290,48.40,0.36,50
1320,48.40,0.36,50
1350,48.40,0.36,50
1380,48.40,0.36,50
1410,48.40,0.36,50
1440,48.40,0.36,50
1470,48.40,0.36,50
1500,48.40,0.36,50
1530,48.40,0.36,50
1560,48.40,0.36,50
1590,48.40,0.36,50
1620,48.40,0.36,50
1650,48.40,0.36,50
1680,48.40,0.36,50
1710,48.40,0.36,50
1740,48.40,0.36,50
1770,48.40,0.36,50

1800,48.40,0.36,50

time delta>0:
40.80 (+/- 14.18)
[10, 96, 18, 56, 24]
