seconds,average_delta,std_error,maximum
30,34.40,7.69,43
60,34.40,7.69,43
90,43.00,0.00,43
120,43.00,0.00,43
150,43.00,0.00,43
180,43.00,0.00,43
210,43.00,0.00,43
240,43.00,0.00,43
270,43.00,0.00,43
300,43.00,0.00,43
330,43.00,0.00,43
360,43.00,0.00,43
390,43.00,0.00,43
420,43.40,0.36,45
450,43.40,0.36,45
480,43.40,0.36,45
510,43.40,0.36,45
540,43.40,0.36,45
570,43.40,0.36,45
600,43.40,0.36,45
630,43.40,0.36,45
660,43.40,0.36,45
690,43.40,0.36,45
720,43.40,0.36,45
750,43.40,0.36,45
780,43.40,0.36,45
810,43.40,0.36,45
840,43.40,0.36,45
870,43.40,0.36,45
900,43.40,0.36,45
930,43.40,0.36,45
960,43.80,0.44,45
990,43.80,0.44,45
1020,43.80,0.44,45
1050,43.80,0.44,45
1080,43.80,0.44,45
1110,43.80,0.44,45
1140,43.80,0.44,45
1170,43.80,0.44,45
1200,43.80,0.44,45
1230,43.80,0.44,45
1260,43.80,0.44,45
1290,43.80,0.44,45
1320,43.80,0.44,45
1350,43.80,0.44,45
1380,43.80,0.44,45
1410,43.80,0.44,45
1440,43.80,0.44,45
1470,43.80,0.44,45
1500,43.80,0.44,45
1530,43.80,0.44,45
1560,43.80,0.44,45
1590,43.80,0.44,45
1620,43.80,0.44,45
1650,43.80,0.44,45
1680,43.80,0.44,45
1710,43.80,0.44,45
1740,43.80,0.44,45
1770,43.80,0.44,45

1800,43.80,0.44,45

time delta>0:
28.00 (+/- 12.88)
[21, 85, 13, 13, 8]
