seconds,average_delta,std_error,maximum
30,51.40,1.43,53
60,53.00,0.00,53
90,53.00,0.00,53
120,53.00,0.00,53
150,53.00,0.00,53
180,53.00,0.00,53
210,53.00,0.00,53
240,53.00,0.00,53
270,53.00,0.00,53
300,53.00,0.00,53
330,53.00,0.00,53
360,53.00,0.00,53
390,53.00,0.00,53
420,53.00,0.00,53
450,53.00,0.00,53
480,53.00,0.00,53
510,53.00,0.00,53
540,53.00,0.00,53
570,53.00,0.00,53
600,53.00,0.00,53
630,53.00,0.00,53
660,53.00,0.00,53
690,53.00,0.00,53
720,53.00,0.00,53
750,53.00,0.00,53
780,53.00,0.00,53
810,53.00,0.00,53
840,53.00,0.00,53
870,53.00,0.00,53
900,53.00,0.00,53
930,53.00,0.00,53
960,53.00,0.00,53
990,53.00,0.00,53
1020,53.00,0.00,53
1050,53.00,0.00,53
1080,53.00,0.00,53
1110,53.00,0.00,53
1140,53.00,0.00,53
1170,53.00,0.00,53
1200,53.00,0.00,53
1230,53.00,0.00,53
1260,53.00,0.00,53
1290,53.00,0.00,53
1320,53.00,0.00,53
1350,53.00,0.00,53
1380,53.00,0.00,53
1410,53.00,0.00,53
1440,53.00,0.00,53
1470,53.00,0.00,53
1500,53.00,0.00,53
1530,53.00,0.00,53
1560,53.00,0.00,53
1590,53.00,0.00,53
1620,53.00,0.00,53
1650,53.00,0.00,53
1680,53.00,0.00,53
1710,53.00,0.00,53
1740,53.00,0.00,53
1770,53.00,0.00,53

1800,53.00,0.00,53

time delta>0:
2.00 (+/- 0.69)
[5, 1, 1, 1, 2]
