Input file; Time; Memory; Instr.; User-Defined
fuzzer-out-1/afl/queue/id:000000,orig:example.txt; 1204913; 1007157248; 79; 0
fuzzer-out-1/afl/queue/id:000001,src:000000,op:havoc,rep:128; 1217580; 1007157248; 79; 0
fuzzer-out-1/afl/queue/id:000002,src:000000,op:havoc,rep:128; 1906446; 1007157248; 79; 0
fuzzer-out-1/afl/queue/id:000003,src:000000,op:havoc,rep:8; 1540286; 1007157248; 79; 0
fuzzer-out-1/afl/queue/id:000004,src:000000,op:havoc,rep:16,+cov; 1428985; 1007157248; 79; 0
fuzzer-out-1/afl/queue/id:000005,src:000000,op:havoc,rep:64; 1517016; 1007157248; 79; 0
fuzzer-out-1/afl/queue/id:000006,src:000000,op:havoc,rep:128; 1527944; 1007157248; 79; 0
fuzzer-out-1/afl/queue/id:000007,src:000000,op:havoc,rep:128; 1281260; 1007157248; 79; 0
fuzzer-out-1/afl/queue/id:000008,src:000000,op:havoc,rep:128; 1481994; 1007157248; 79; 0
fuzzer-out-1/afl/queue/id:000009,src:000000,op:havoc,rep:32; 1109328; 1007157248; 79; 0
