Input file; Time; Memory; Instr.; User-Defined
fuzzer-out-4/afl/queue/id:000000,orig:example.txt; 3713730531; 1007157248; 3839675093; 0
fuzzer-out-4/afl/queue/id:000001,src:000000,op:havoc,rep:16,+cov,highscore; 1141682892; 1007157248; 6; 2264924415
fuzzer-out-4/afl/queue/id:000002,src:000000,op:havoc,rep:16,+cov; 1116783; 1007157248; 4; 0
fuzzer-out-4/afl/queue/id:000003,src:000000,op:havoc,rep:128,+cov; 1489422; 1007157248; 6; 0
fuzzer-out-4/afl/queue/id:000004,src:000000,op:havoc,rep:64; 296653953; 1007157248; 303174169; 0
fuzzer-out-4/afl/queue/id:000005,src:000000,op:havoc,rep:16; 3704910389; 1007157248; 3839687231; 0
fuzzer-out-4/afl/queue/id:000006,src:000000,op:havoc,rep:4; 2324750293; 1007157248; 2429213189; 0
fuzzer-out-4/afl/queue/id:000007,src:000000,op:havoc,rep:8,highscore; 1662176306; 1007157248; 3469905971; 3469905965
fuzzer-out-4/afl/queue/id:000008,src:000000,op:havoc,rep:16; 53748745; 1007157248; 33553931; 0
fuzzer-out-4/afl/queue/id:000009,src:000000,op:havoc,rep:4,highscore; 1881960046; 1007157248; 6; 3839675087
fuzzer-out-4/afl/queue/id:000010,src:000000,op:havoc,rep:16,highscore; 1886961498; 1007157248; 6; 3939008205
fuzzer-out-4/afl/queue/id:000011,src:000000,op:havoc,rep:4; 3667310975; 1007157248; 3839623183; 0
fuzzer-out-4/afl/queue/id:000012,src:000000,op:havoc,rep:2; 3669410016; 1007157248; 3839674889; 0
fuzzer-out-4/afl/queue/id:000013,src:000000,op:havoc,rep:16,highscore; 2047933490; 1007157248; 4136555187; 4136555181
fuzzer-out-4/afl/queue/id:000014,src:000009+000010,op:splice,rep:2,highscore; 2012497057; 1007157248; 6; 4207443661
