seconds,average_delta,std_error,maximum
30,0.00,0.00,0
60,911635565.40,379794082.53,2264924415
90,1901319889.20,570221039.82,3839412943
120,2195795709.60,657608004.16,3839675087
150,2889779876.20,456289955.74,3839675087
180,2918641210.60,467083556.87,3839675087
210,3541174408.60,285615655.15,3909943585
240,3541174408.60,285615655.15,3909943585
270,3782170758.20,70788875.45,3909943585
300,3782170758.20,70788875.45,3909943585
330,3867016485.40,114578565.07,4275882703
360,3867016485.40,114578565.07,4275882703
390,3867016485.40,114578565.07,4275882703
420,3867016485.40,114578565.07,4275882703
450,3940976965.80,75869465.25,4275882703
480,3960843589.40,72573489.83,4275882703
510,3960949473.80,72665421.53,4276412125
540,3960949473.80,72665421.53,4276412125
570,3960949473.80,72665421.53,4276412125
600,3960950395.40,72665113.91,4276412125
630,3960950395.40,72665113.91,4276412125
660,3960950395.40,72665113.91,4276412125
690,4007919944.20,69045320.21,4276412125
720,4088871659.00,67543065.36,4276412125
750,4088871659.00,67543065.36,4276412125
780,4088871659.00,67543065.36,4276412125
810,4088871659.00,67543065.36,4276412125
840,4088871659.00,67543065.36,4276412125
870,4088871659.00,67543065.36,4276412125
900,4088871659.00,67543065.36,4276412125
930,4088871659.00,67543065.36,4276412125
960,4088871659.00,67543065.36,4276412125
990,4088871659.00,67543065.36,4276412125
1020,4101661505.00,61461734.46,4276412125
1050,4101661505.00,61461734.46,4276412125
1080,4101661505.00,61461734.46,4276412125
1110,4101661505.00,61461734.46,4276412125
1140,4101661505.00,61461734.46,4276412125
1170,4141170900.20,49556081.82,4276412125
1200,4141170900.20,49556081.82,4276412125
1230,4141170900.20,49556081.82,4276412125
1260,4185253035.00,53252080.57,4294966785
1290,4185253035.00,53252080.57,4294966785
1320,4185253035.00,53252080.57,4294966785
1350,4185253035.00,53252080.57,4294966785
1380,4185253035.00,53252080.57,4294966785
1410,4185253035.00,53252080.57,4294966785
1440,4185253035.00,53252080.57,4294966785
1470,4185253035.00,53252080.57,4294966785
1500,4185253035.00,53252080.57,4294966785
1530,4185253035.00,53252080.57,4294966785
1560,4185253035.00,53252080.57,4294966785
1590,4185253035.00,53252080.57,4294966785
1620,4185253035.00,53252080.57,4294966785
1650,4187542891.00,54069171.56,4294966785
1680,4187542891.00,54069171.56,4294966785
1710,4187542891.00,54069171.56,4294966785
1740,4201720587.00,52868948.01,4294966785
1770,4248461576.60,16832811.47,4294966785

1800,4248461576.60,16832811.47,4294966785

time delta>0:
66.60 (+/- 14.99)
[41, 131, 67, 42, 52]
