Input file; Time; Memory; Instr.; User-Defined
fuzzer-out-1/afl/queue/id:000000,orig:example.txt; 0; 0; 0; 0
fuzzer-out-1/afl/queue/id:000001,src:000000,op:havoc,rep:2,+cov; 1568678; 1007157248; 23; 0
fuzzer-out-1/afl/queue/id:000002,src:000000,op:havoc,rep:128,+cov; 1502729; 1007157248; 23; 0
fuzzer-out-1/afl/queue/id:000003,src:000000,op:havoc,rep:64; 1576247; 1007157248; 33; 0
fuzzer-out-1/afl/queue/id:000004,src:000000,op:havoc,rep:4; 1698492; 1007157248; 43; 0
fuzzer-out-1/afl/queue/id:000005,src:000000,op:havoc,rep:128; 1543075; 1007157248; 53; 0
fuzzer-out-1/afl/queue/id:000006,src:000000,op:havoc,rep:2; 1286798; 1007157248; 43; 0
fuzzer-out-1/afl/queue/id:000007,src:000000,op:havoc,rep:64; 1461158; 1007157248; 43; 0
fuzzer-out-1/afl/queue/id:000008,src:000000,op:havoc,rep:128; 1629841; 1007157248; 143; 0
fuzzer-out-1/afl/queue/id:000009,src:000000,op:havoc,rep:128; 1174886; 1007157248; 73; 0
fuzzer-out-1/afl/queue/id:000010,src:000000+000008,op:splice,rep:8; 1356021; 1007157248; 173; 0
fuzzer-out-1/afl/queue/id:000011,src:000002+000009,op:splice,rep:2; 1423581; 1007157248; 103; 0
