seconds,average_delta,std_error,maximum
30,74.60,3.72,79
60,76.80,1.97,79
90,77.20,1.61,79
120,77.80,1.07,79
150,80.00,0.89,84
180,80.20,1.07,85
210,82.60,1.56,88
240,84.40,2.60,94
270,84.40,2.60,94
300,84.40,2.60,94
330,84.40,2.60,94
360,86.20,2.01,94
390,86.20,2.01,94
420,88.80,2.25,95
450,88.80,2.25,95
480,88.80,2.25,95
510,90.40,2.17,95
540,90.40,2.17,95
570,90.40,2.17,95
600,90.40,2.17,95
630,90.40,2.17,95
660,90.40,2.17,95
690,90.40,2.17,95
720,90.40,2.17,95
750,90.40,2.17,95
780,90.40,2.17,95
810,90.80,2.29,95
840,90.80,2.29,95
870,90.80,2.29,95
900,90.80,2.29,95
930,90.80,2.29,95
960,90.80,2.29,95
990,90.80,2.29,95
1020,92.00,2.24,95
1050,92.00,2.24,95
1080,92.00,2.24,95
1110,92.00,2.24,95
1140,92.00,2.24,95
1170,92.00,2.24,95
1200,92.00,2.24,95
1230,92.00,2.24,95
1260,92.00,2.24,95
1290,92.80,1.53,95
1320,92.80,1.53,95
1350,92.80,1.53,95
1380,92.80,1.53,95
1410,93.60,0.83,95
1440,93.60,0.83,95
1470,93.60,0.83,95
1500,93.60,0.83,95
1530,93.80,0.87,95
1560,93.80,0.87,95
1590,94.80,0.18,95
1620,94.80,0.18,95
1650,95.00,0.00,95
1680,95.00,0.00,95
1710,95.00,0.00,95
1740,95.00,0.00,95
1770,95.00,0.00,95

1800,95.00,0.00,95

time delta>0:
3.40 (+/- 0.88)
[1, 1, 5, 5, 5]
