seconds,average_delta,std_error,maximum
30,66.60,5.41,81
60,80.60,1.61,87
90,81.20,1.34,87
120,81.20,1.34,87
150,82.60,1.46,87
180,82.60,1.46,87
210,85.40,1.00,87
240,85.40,1.00,87
270,86.00,1.30,90
300,86.00,1.30,90
330,87.80,2.07,95
360,87.80,2.07,95
390,87.80,2.07,95
420,87.80,2.07,95
450,89.40,2.27,95
480,89.40,2.27,95
510,89.40,2.27,95
540,89.40,2.27,95
570,90.60,2.24,95
600,90.60,2.24,95
630,91.00,1.90,95
660,91.00,1.90,95
690,91.00,1.90,95
720,91.00,1.90,95
750,91.00,1.90,95
780,91.00,1.90,95
810,91.00,1.90,95
840,91.80,2.03,95
870,91.80,2.03,95
900,92.80,1.18,95
930,92.80,1.18,95
960,92.80,1.18,95
990,92.80,1.18,95
1020,92.80,1.18,95
1050,92.80,1.18,95
1080,92.80,1.18,95
1110,92.80,1.18,95
1140,92.80,1.18,95
1170,92.80,1.18,95
1200,92.80,1.18,95
1230,93.40,1.22,95
1260,93.40,1.22,95
1290,93.40,1.22,95
1320,93.40,1.22,95
1350,93.40,1.22,95
1380,93.60,1.25,95
1410,94.00,0.89,95
1440,94.00,0.89,95
1470,94.00,0.89,95
1500,94.00,0.89,95
1530,94.00,0.89,95
1560,94.00,0.89,95
1590,94.00,0.89,95
1620,94.00,0.89,95
1650,94.00,0.89,95
1680,94.00,0.89,95
1710,94.40,1.04,97
1740,94.40,1.04,97
1770,94.40,1.04,97

1800,94.40,1.04,97

time delta>0:
3.40 (+/- 0.88)
[5, 5, 1, 5, 1]
