Input file; Time; Memory; Instr.; User-Defined
fuzzer-out-3/afl/queue/id:000000,orig:example.txt; 1495689; 1007157248; 36; 0
fuzzer-out-3/afl/queue/id:000001,src:000000,op:havoc,rep:64,+cov; 1688676; 1007157248; 72; 0
fuzzer-out-3/afl/queue/id:000002,src:000000,op:havoc,rep:16; 1896714; 1007157248; 76; 0
fuzzer-out-3/afl/queue/id:000003,src:000000,op:havoc,rep:64; 1935582; 1007157248; 84; 0
fuzzer-out-3/afl/queue/id:000004,src:000000,op:havoc,rep:16; 1737528; 1007157248; 20; 0
fuzzer-out-3/afl/queue/id:000005,src:000000,op:havoc,rep:8; 1294642; 1007157248; 40; 0
fuzzer-out-3/afl/queue/id:000006,src:000000,op:havoc,rep:64; 1255794; 1007157248; 16; 0
fuzzer-out-3/afl/queue/id:000007,src:000000,op:havoc,rep:8; 1393142; 1007157248; 16; 0
fuzzer-out-3/afl/queue/id:000008,src:000000,op:havoc,rep:64; 1696323; 1007157248; 52; 0
fuzzer-out-3/afl/queue/id:000009,src:000000,op:havoc,rep:16; 1510752; 1007157248; 12; 0
fuzzer-out-3/afl/queue/id:000010,src:000000,op:havoc,rep:8; 1745344; 1007157248; 60; 0
fuzzer-out-3/afl/queue/id:000011,src:000000,op:havoc,rep:128; 1898810; 1007157248; 156; 0
fuzzer-out-3/afl/queue/id:000012,src:000000,op:havoc,rep:64; 1608350; 1007157248; 20; 0
fuzzer-out-3/afl/queue/id:000013,src:000000,op:havoc,rep:128; 1715583; 1007157248; 156; 0
fuzzer-out-3/afl/queue/id:000014,src:000000,op:havoc,rep:32; 1478771; 1007157248; 128; 0
fuzzer-out-3/afl/queue/id:000015,src:000000+000013,op:splice,rep:128; 1575533; 1007157248; 296; 0
fuzzer-out-3/afl/queue/id:000016,src:000000+000008,op:splice,rep:128; 2662788; 1007157248; 640; 0
fuzzer-out-3/afl/queue/id:000017,src:000000+000010,op:splice,rep:128; 2819366; 1007157248; 708; 0
fuzzer-out-3/afl/queue/id:000018,src:000001+000017,op:splice,rep:32; 2195864; 1007157248; 848; 0
