Input file; Time; Memory; Instr.; User-Defined
fuzzer-out-3/afl/queue/id:000000,orig:example.txt; 926127; 1007157248; 51; 0
fuzzer-out-3/afl/queue/id:000001,src:000000,op:havoc,rep:32; 1360493; 1007157248; 33; 0
fuzzer-out-3/afl/queue/id:000002,src:000000,op:havoc,rep:16,+cov; 1556914; 1007157248; 19; 0
fuzzer-out-3/afl/queue/id:000003,src:000000,op:havoc,rep:32,highscore; 1253863; 1007157248; 36; 17
fuzzer-out-3/afl/queue/id:000004,src:000000,op:havoc,rep:2,highscore; 1413847; 1007157248; 19; 32
fuzzer-out-3/afl/queue/id:000005,src:000000,op:havoc,rep:16; 1342219; 1007157248; 87; 0
fuzzer-out-3/afl/queue/id:000006,src:000000,op:havoc,rep:4,highscore; 1531953; 1007157248; 78; 59
fuzzer-out-3/afl/queue/id:000007,src:000000,op:havoc,rep:8,highscore; 1333527; 1007157248; 19; 86
fuzzer-out-3/afl/queue/id:000008,src:000000,op:havoc,rep:32,+cov; 1410944; 1007157248; 32; 1
fuzzer-out-3/afl/queue/id:000009,src:000000,op:havoc,rep:32,highscore; 1265271; 1007157248; 19; 143
fuzzer-out-3/afl/queue/id:000010,src:000000,op:havoc,rep:64; 1316762; 1007157248; 27; 8
fuzzer-out-3/afl/queue/id:000011,src:000000,op:havoc,rep:16; 1436489; 1007157248; 30; 11
fuzzer-out-3/afl/queue/id:000012,src:000000,op:havoc,rep:8; 1215061; 1007157248; 129; 110
fuzzer-out-3/afl/queue/id:000013,src:000000,op:havoc,rep:32,highscore; 1359517; 1007157248; 168; 149
