Input file; Time; Memory; Instr.; User-Defined
fuzzer-out-4/afl/queue/id:000000,orig:example.txt; 0; 0; 0; 0
fuzzer-out-4/afl/queue/id:000001,src:000000,op:havoc,rep:128,+cov,highscore; 1474239; 1007157248; 31; 7
fuzzer-out-4/afl/queue/id:000002,src:000000,op:havoc,rep:4,+cov; 1448815; 1007157248; 75; 0
fuzzer-out-4/afl/queue/id:000003,src:000000,op:havoc,rep:8,highscore; 1645869; 1007157248; 63; 8
fuzzer-out-4/afl/queue/id:000004,src:000000,op:havoc,rep:2; 1398577; 1007157248; 39; 0
fuzzer-out-4/afl/queue/id:000005,src:000000,op:havoc,rep:32; 1412025; 1007157248; 51; 0
fuzzer-out-4/afl/queue/id:000006,src:000000,op:havoc,rep:16,+cov; 1483933; 1007157248; 38; 1
fuzzer-out-4/afl/queue/id:000007,src:000000,op:havoc,rep:32; 1756877; 1007157248; 103; 0
fuzzer-out-4/afl/queue/id:000008,src:000000,op:havoc,rep:32; 1383137; 1007157248; 35; 4
fuzzer-out-4/afl/queue/id:000009,src:000000,op:havoc,rep:8,+cov; 1388787; 1007157248; 63; 0
fuzzer-out-4/afl/queue/id:000010,src:000000,op:havoc,rep:128; 1778453; 1007157248; 219; 8
fuzzer-out-4/afl/queue/id:000011,src:000000,op:havoc,rep:16; 1356183; 1007157248; 99; 0
fuzzer-out-4/afl/queue/id:000012,src:000000,op:havoc,rep:4; 1036641; 1007157248; 63; 0
fuzzer-out-4/afl/queue/id:000013,src:000000,op:havoc,rep:64,highscore; 1354381; 1007157248; 75; 12
fuzzer-out-4/afl/queue/id:000014,src:000000,op:havoc,rep:128,highscore; 1233678; 1007157248; 59; 16
fuzzer-out-4/afl/queue/id:000015,src:000000,op:havoc,rep:8,highscore; 1369417; 1007157248; 63; 24
fuzzer-out-4/afl/queue/id:000016,src:000000,op:havoc,rep:32; 1351714; 1007157248; 159; 0
fuzzer-out-4/afl/queue/id:000017,src:000000,op:havoc,rep:16,highscore; 1594984; 1007157248; 83; 28
fuzzer-out-4/afl/queue/id:000018,src:000000,op:havoc,rep:64,highscore; 1347548; 1007157248; 139; 48
fuzzer-out-4/afl/queue/id:000019,src:000000,op:havoc,rep:4,highscore; 1582875; 1007157248; 71; 64
fuzzer-out-4/afl/queue/id:000020,src:000000,op:havoc,rep:64,highscore; 1322391; 1007157248; 115; 96
fuzzer-out-4/afl/queue/id:000021,src:000000+000020,op:splice,rep:32; 1546665; 1007157248; 171; 0
fuzzer-out-4/afl/queue/id:000022,src:000000+000020,op:splice,rep:2,highscore; 837986; 1007157248; 115; 100
fuzzer-out-4/afl/queue/id:000023,src:000000+000020,op:splice,rep:16,highscore; 1152815; 1007157248; 99; 112
fuzzer-out-4/afl/queue/id:000024,src:000022,op:havoc,rep:2,highscore; 1611612; 1007157248; 99; 116
