Input file; Time; Memory; Instr.; User-Defined
fuzzer-out-4/afl/queue/id:000000,orig:example.txt; 296123; 126877696; 18; 0
fuzzer-out-4/afl/queue/id:000001,src:000000,op:havoc,rep:8; 448501; 126877696; 26; 0
fuzzer-out-4/afl/queue/id:000002,src:000000,op:havoc,rep:16,+cov; 285603; 126877696; 26; 0
fuzzer-out-4/afl/queue/id:000003,src:000000,op:havoc,rep:64; 294477; 126877696; 42; 0
fuzzer-out-4/afl/queue/id:000004,src:000000,op:havoc,rep:128; 313092; 126877696; 18; 0
fuzzer-out-4/afl/queue/id:000005,src:000000,op:havoc,rep:4; 386239; 126877696; 42; 0
fuzzer-out-4/afl/queue/id:000006,src:000000,op:havoc,rep:64; 346487; 126877696; 26; 0
fuzzer-out-4/afl/queue/id:000007,src:000000,op:havoc,rep:16; 241074; 126877696; 74; 0
fuzzer-out-4/afl/queue/id:000008,src:000000,op:havoc,rep:8; 314539; 126877696; 42; 0
fuzzer-out-4/afl/queue/id:000009,src:000002+000005,op:splice,rep:4; 192895; 126877696; 58; 0
fuzzer-out-4/afl/queue/id:000010,src:000000+000006,op:splice,rep:128; 300891; 126877696; 138; 0
fuzzer-out-4/afl/queue/id:000011,src:000001,op:havoc,rep:64; 160650; 126877696; 138; 0
fuzzer-out-4/afl/queue/id:000012,src:000001+000000,op:splice,rep:4; 195851; 126877696; 82; 0
fuzzer-out-4/afl/queue/id:000013,src:000000+000004,op:splice,rep:64; 253095; 126877696; 138; 0
