seconds,average_delta,std_error,maximum
30,15.20,0.72,16
60,15.20,0.72,16
90,25.40,4.23,35
120,26.80,3.50,35
150,27.00,3.37,35
180,31.00,2.56,36
210,31.00,2.56,36
240,32.40,2.95,39
270,40.40,8.26,75
300,41.60,7.92,75
330,41.60,7.92,75
360,41.60,7.92,75
390,41.60,7.92,75
420,41.60,7.92,75
450,44.20,9.88,87
480,45.00,9.58,87
510,45.20,9.56,87
540,45.20,9.56,87
570,45.20,9.56,87
600,45.20,9.56,87
630,66.20,17.45,116
660,76.40,18.38,127
690,79.60,18.69,127
720,82.20,19.26,127
750,82.20,19.26,127
780,82.20,19.26,127
810,84.40,20.11,127
840,88.20,21.26,127
870,88.20,21.26,127
900,88.20,21.26,127
930,88.20,21.26,127
960,88.20,21.26,127
990,88.20,21.26,127
1020,88.20,21.26,127
1050,88.20,21.26,127
1080,88.20,21.26,127
1110,88.20,21.26,127
1140,88.20,21.26,127
1170,88.20,21.26,127
1200,88.20,21.26,127
1230,88.20,21.26,127
1260,88.20,21.26,127
1290,88.20,21.26,127
1320,88.20,21.26,127
1350,88.20,21.26,127
1380,88.20,21.26,127
1410,88.20,21.26,127
1440,92.00,19.29,127
1470,92.00,19.29,127
1500,92.00,19.29,127
1530,92.00,19.29,127
1560,92.00,19.29,127
1590,92.00,19.29,127
1620,92.00,19.29,127
1650,92.00,19.29,127
1680,92.00,19.29,127
1710,92.00,19.29,127
1740,93.60,18.32,127
1770,93.60,18.32,127

1800,93.60,18.32,127

time delta>0:
7.00 (+/- 0.98)
[11, 7, 5, 5, 7]
