seconds,average_delta,std_error,maximum
30,383.00,0.00,383
60,383.00,0.00,383
90,383.00,0.00,383
120,383.00,0.00,383
150,383.00,0.00,383
180,383.00,0.00,383
210,383.00,0.00,383
240,383.00,0.00,383
270,383.00,0.00,383
300,383.00,0.00,383
330,383.00,0.00,383
360,383.00,0.00,383
390,383.00,0.00,383
420,383.00,0.00,383
450,383.00,0.00,383
480,383.00,0.00,383
510,383.00,0.00,383
540,383.00,0.00,383
570,383.00,0.00,383
600,383.00,0.00,383
630,383.00,0.00,383
660,383.00,0.00,383
690,383.00,0.00,383
720,383.00,0.00,383
750,383.00,0.00,383
780,383.00,0.00,383
810,383.00,0.00,383
840,383.00,0.00,383
870,383.00,0.00,383
900,383.00,0.00,383
930,383.00,0.00,383
960,383.00,0.00,383
990,383.00,0.00,383
1020,383.00,0.00,383
1050,383.00,0.00,383
1080,383.00,0.00,383
1110,383.00,0.00,383
1140,383.00,0.00,383
1170,383.00,0.00,383
1200,383.00,0.00,383
1230,383.00,0.00,383
1260,383.00,0.00,383
1290,383.00,0.00,383
1320,383.00,0.00,383
1350,383.00,0.00,383
1380,383.00,0.00,383
1410,383.00,0.00,383
1440,383.00,0.00,383
1470,383.00,0.00,383
1500,383.00,0.00,383
1530,383.00,0.00,383
1560,383.00,0.00,383
1590,383.00,0.00,383
1620,383.00,0.00,383
1650,383.00,0.00,383
1680,383.00,0.00,383
1710,383.00,0.00,383
1740,383.00,0.00,383
1770,383.00,0.00,383

1800,383.00,0.00,383

time delta>0:
4.20 (+/- 0.72)
[5, 5, 5, 1, 5]
